HGNC symbol,NCBI gene (formerly Entrezgene) ID,Gene stable ID
ARIH2OS,,ENSG00000221883
ATXN7L3,56970,ENSG00000087152
BAG6,7917,ENSG00000229524
BAG6,7917,ENSG00000096155
BAG6,7917,ENSG00000204463
BAG6,7917,ENSG00000234651
BAG6,7917,ENSG00000228760
BAG6,7917,ENSG00000227761
BAG6,7917,ENSG00000233348
BTD,686,ENSG00000169814
HAUS7,55559,ENSG00000213397
MAPK8,5599,ENSG00000107643
MBD3,53615,ENSG00000071655
PI4KA,5297,ENSG00000241973
SEC31A,22872,ENSG00000138674
SNX25,83891,ENSG00000109762
XPC,7508,ENSG00000154767
YIF1B,90522,ENSG00000167645
ZNF654,55279,ENSG00000175105
