Treatment,no,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antibody status,AQP4,AQP4,AQP4,AQP4,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC
Ensembl_Gene_ID,NMO #0028,NMO #0031,NMO #0077,NMO #0049,VIMS-055,VIMS-061,VIMS-080,VIMS-091,VIMS-025,VIMS-018,VIMS-033,VIMS-052,VIMS-097,VIMS-070,VIMS-021,VIMS-045,VIMS-096,VIMS-105,VIMS-114,VIMS-139,VIMS-106
ENSG00000223972,6,5,9,13,5,5,9,18,14,13,11,11,11,5,5,6,8,8,3,5,15
ENSG00000227232,69,83,100,74,211,125,99,89,50,72,74,190,114,94,79,128,100,106,126,76,71
ENSG00000278267,7,14,8,11,23,5,14,13,19,7,16,7,16,17,2,7,13,7,17,7,10
ENSG00000243485,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0
ENSG00000284332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0
ENSG00000268020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000240361,1,1,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3,7,1,1,0
ENSG00000186092,0,1,0,0,1,2,1,0,0,0,0,0,2,0,9,2,2,0,3,0,0
ENSG00000238009,55,47,28,48,36,51,34,70,37,29,55,23,64,27,32,102,31,19,73,21,13
ENSG00000239945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750,3,4,1,5,3,8,2,8,3,3,2,0,5,2,16,3,5,5,2,4,2
ENSG00000268903,50,34,23,59,35,56,21,100,53,29,114,32,106,24,19,59,31,7,68,9,32
ENSG00000269981,37,26,12,39,17,41,20,64,26,4,53,13,95,15,15,22,10,7,54,1,6
ENSG00000239906,8,4,4,20,6,2,3,14,1,7,16,14,50,3,5,16,6,4,16,1,10
ENSG00000241860,2000,1190,1067,1483,1310,715,704,2342,1179,905,4304,1087,2426,1318,772,1869,1317,478,2491,456,1242
ENSG00000222623,0,4,0,10,4,1,4,17,1,3,2,0,9,0,3,1,5,1,9,8,2
ENSG00000241599,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000279928,0,1,4,5,20,6,11,19,21,6,1,13,1,2,7,2,11,0,2,2,7
ENSG00000279457,91,95,75,129,189,100,74,125,128,50,103,141,161,103,84,99,100,67,113,121,59
ENSG00000273874,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000228463,273,91,207,195,121,96,122,146,81,119,150,102,132,89,92,307,391,71,155,72,111
ENSG00000236679,2,3,1,0,0,2,1,0,0,0,1,1,0,0,0,3,0,1,0,2,1
ENSG00000236601,1,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,1,1,0,0,0
ENSG00000237094,705,350,364,468,403,306,259,698,395,294,1392,331,718,386,238,609,472,169,884,138,301
ENSG00000269732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000284733,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250575,27,10,9,8,17,15,11,21,3,3,14,8,14,4,7,26,29,6,32,2,6
ENSG00000278757,14,12,13,0,6,13,0,0,6,0,1,25,0,31,0,27,0,3,2,0,0
ENSG00000230021,14,14,10,15,12,8,13,37,25,12,9,8,24,17,23,16,41,20,4,19,13
ENSG00000235146,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
ENSG00000225972,0,0,1,6,0,0,2,1,0,0,0,1,0,1,0,1,3,0,0,1,0
ENSG00000225630,5,28,10,54,12,9,10,42,67,4,6,14,124,7,67,10,61,16,11,33,3
ENSG00000237973,113,61,177,590,99,63,67,152,569,110,82,93,80,171,56,88,86,62,65,97,99
ENSG00000278791,2,0,1,5,0,1,0,1,0,4,2,0,1,0,5,0,0,0,0,0,1
ENSG00000229344,1,1,0,6,0,1,0,5,0,4,4,1,1,3,1,1,2,2,1,1,2
ENSG00000240409,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000248527,46,108,48,81,152,95,100,166,59,83,84,101,119,54,127,113,109,40,112,88,61
ENSG00000198744,6,2,3,11,3,1,3,3,0,1,1,2,5,3,2,0,3,2,0,0,0
ENSG00000268663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
