gene_id,raw_count,effective_length,FPKM,TPM
ENSG00000290825.2,0,1375.01,0.0,0.0
ENSG00000223972.6,0,534.88,0.0,0.0
ENSG00000310526.1,2,581.7,0.328908287814188,0.4098516240690449
ENSG00000227232.6,0,1282.88,0.0,0.0
ENSG00000278267.1,0,0.0,0.0,0.0
ENSG00000243485.6,4,380.53,1.0055761754474715,1.253045435161293
ENSG00000284332.1,0,40.88,0.0,0.0
ENSG00000237613.3,0,833.88,0.0,0.0
ENSG00000308361.1,0,221.88,0.0,0.0
ENSG00000290826.2,0,1091.38,0.0,0.0
ENSG00000268020.3,0,742.88,0.0,0.0
ENSG00000240361.3,0,841.88,0.0,0.0
ENSG00000186092.7,0,2520.88,0.0,0.0
ENSG00000241860.8,0,1152.54,0.0,0.0
ENSG00000239945.1,0,1221.88,0.0,0.0
ENSG00000308314.1,0,250.84,0.0,0.0
ENSG00000233750.3,3,3714.88,0.07725388882878309,0.09626583754561255
ENSG00000308579.1,39,699.88,5.3307081855739655,6.642579370118859
ENSG00000268903.1,0,657.88,0.0,0.0
ENSG00000269981.1,35,186.88,17.9163321001524,22.32548731869039
ENSG00000239906.1,0,225.88,0.0,0.0
ENSG00000310528.1,0,1735.88,0.0,0.0
ENSG00000222623.1,0,6.88,0.0,0.0
ENSG00000241599.1,0,359.88,0.0,0.0
ENSG00000308415.1,8,1551.22,0.4933560707611123,0.6147695097303114
ENSG00000310527.1,23,597.62,3.6816847440637885,4.587736240070746
ENSG00000279928.2,0,472.88,0.0,0.0
ENSG00000279457.4,0,1299.88,0.0,0.0
ENSG00000273874.1,0,0.0,0.0,0.0
ENSG00000308625.1,0,523.88,0.0,0.0
ENSG00000308544.1,0,448.88,0.0,0.0
ENSG00000292994.2,0,2348.36,0.0,0.0
ENSG00000228463.11,0,359.88,0.0,0.0
ENSG00000306775.1,0,1037.88,0.0,0.0
ENSG00000286448.2,2,620.98,0.3081032416849386,0.38392651892325586
ENSG00000236679.2,0,287.88,0.0,0.0
ENSG00000236601.3,0,328.88,0.0,0.0
ENSG00000290385.2,7,489.36,1.3684012354407717,1.7051606466065308
ENSG00000269732.1,0,265.88,0.0,0.0
ENSG00000284733.2,0,841.88,0.0,0.0
ENSG00000237094.13,0,85.88,0.0,0.0
ENSG00000233653.3,0,2379.88,0.0,0.0
ENSG00000250575.1,0,1141.88,0.0,0.0
ENSG00000278757.1,0,6.88,0.0,0.0
ENSG00000293331.2,0,831.43,0.0,0.0
ENSG00000225880.7,60,2007.16,2.8596517121930463,3.5634033617792813
ENSG00000235146.3,0,594.13,0.0,0.0
ENSG00000225972.1,2,274.88,0.6960344551131882,0.8673264323376143
ENSG00000225630.1,517,946.88,52.23234025331737,65.08656143636895
ENSG00000237973.1,103,1445.88,6.8147332265526375,8.491818491596547
ENSG00000278791.1,0,2.08,0.0,0.0
ENSG00000229344.1,9,584.88,1.472040041712504,1.8343046500894806
ENSG00000240409.1,0,109.88,0.0,0.0
ENSG00000248527.1,8281,583.88,1356.7601222932371,1690.6546906721398
ENSG00000198744.5,19,449.88,4.0401807919987,5.034457082664605
ENSG00000268663.1,0,326.88,0.0,0.0
ENSG00000284662.2,0,841.88,0.0,0.0
ENSG00000230021.11,0,85.88,0.0,0.0
ENSG00000229376.3,0,2357.88,0.0,0.0
ENSG00000223181.1,0,6.88,0.0,0.0
ENSG00000229905.1,0,358.88,0.0,0.0
