gene_id,raw_count,effective_length,FPKM,TPM
ENSG00000290825.2,0,1310.22,0,0
ENSG00000223972.6,0,564.68,0,0
ENSG00000310526.1,1,522.9,2.418294598,1.234438636
ENSG00000227232.6,0,1312.68,0,0
ENSG00000278267.1,0,5.06,0,0
ENSG00000243485.6,0,486.43,0,0
ENSG00000284332.1,0,70.68,0,0
ENSG00000237613.3,0,972.54,0,0
ENSG00000308361.1,0,251.68,0,0
ENSG00000290826.2,0,1121.18,0,0
ENSG00000268020.3,0,772.68,0,0
ENSG00000240361.3,0,871.68,0,0
ENSG00000186092.7,0,2550.68,0,0
ENSG00000241860.8,0,660.68,0,0
ENSG00000239945.1,0,1251.68,0,0
ENSG00000308314.1,0,1212.68,0,0
ENSG00000233750.3,1,3744.68,0.337686063,0.172374666
ENSG00000308579.1,10,729.68,17.32987399,8.846178638
ENSG00000268903.1,0,687.68,0,0
ENSG00000269981.1,0,216.68,0,0
ENSG00000239906.1,0,255.68,0,0
ENSG00000310528.1,0,1765.68,0,0
ENSG00000222623.1,0,36.68,0,0
ENSG00000241599.1,0,389.68,0,0
ENSG00000308415.1,0,1484.56,0,0
ENSG00000310527.1,0,300.68,0,0
ENSG00000279928.2,0,502.68,0,0
ENSG00000279457.4,0,1329.68,0,0
ENSG00000273874.1,0,5.06,0,0
ENSG00000308625.1,0,553.68,0,0
ENSG00000308544.1,0,478.68,0,0
ENSG00000292994.2,0,2250.12,0,0
ENSG00000228463.11,0,389.68,0,0
ENSG00000306775.1,0,1067.68,0,0
ENSG00000286448.2,0,1140.68,0,0
ENSG00000236679.2,0,317.68,0,0
ENSG00000236601.3,0,629.28,0,0
ENSG00000290385.2,0,405.68,0,0
ENSG00000269732.1,0,295.68,0,0
ENSG00000284733.2,0,871.68,0,0
ENSG00000237094.13,0,115.68,0,0
ENSG00000233653.3,0,2409.68,0,0
ENSG00000250575.1,0,1171.68,0,0
ENSG00000278757.1,0,36.68,0,0
ENSG00000293331.2,0,861.23,0,0
ENSG00000225880.7,4,431.29,11.72785129,5.986579451
ENSG00000235146.3,0,623.93,0,0
ENSG00000225972.1,0,304.68,0,0
ENSG00000225630.1,8,976.68,10.35775276,5.287201236
ENSG00000237973.1,1,1475.68,0.856910879,0.437417301
ENSG00000278791.1,0,21.68,0,0
ENSG00000229344.1,1,614.68,2.057210655,1.050120327
ENSG00000240409.1,1,139.68,9.053022947,4.621191029
ENSG00000248527.1,238,613.68,490.4139721,250.3359001
ENSG00000198744.5,0,479.68,0,0
ENSG00000268663.1,0,356.68,0,0
ENSG00000284662.2,0,871.68,0,0
ENSG00000230021.11,0,115.68,0,0
ENSG00000229376.3,0,2387.68,0,0
ENSG00000223181.1,0,36.68,0,0
ENSG00000229905.1,0,388.68,0,0
ENSG00000228327.6,0,349.68,0,0
ENSG00000237491.11,0,3179.68,0,0
ENSG00000285268.1,0,46.68,0,0
ENSG00000230092.8,0,170.68,0,0
ENSG00000177757.3,3,1892.68,2.00434238,1.023133276
ENSG00000228794.13,11,1826.34,7.61620985,3.887757806
ENSG00000297178.1,0,1621.68,0,0
ENSG00000297224.1,0,856.18,0,0
ENSG00000230368.3,0,933.96,0,0
ENSG00000234711.1,0,990.68,0,0
ENSG00000283040.1,0,769.68,0,0
ENSG00000296088.1,0,310.68,0,0
ENSG00000272438.2,0,1002.72,0,0
ENSG00000298603.1,0,349.68,0,0
ENSG00000223764.3,0,1361.81,0,0
ENSG00000187634.13,0,1630.41,0,0
ENSG00000188976.11,8,2424.68,4.17218353,2.129725862
ENSG00000187961.15,7,2499.68,3.541126751,1.807597669
ENSG00000187583.11,0,1730.08,0,0
ENSG00000187642.10,0,2497.18,0,0
ENSG00000303599.1,0,376.68,0,0
ENSG00000272512.1,0,2018.68,0,0
ENSG00000188290.11,2,972.68,2.600086864,1.327236014
ENSG00000303623.1,0,286.68,0,0
ENSG00000187608.10,12,569.68,26.63655902,13.59685359
ENSG00000303614.1,0,487.68,0,0
ENSG00000231702.2,0,86.68,0,0
ENSG00000224969.1,0,403.68,0,0
ENSG00000188157.16,0,3522.78,0,0
ENSG00000242590.1,0,334.68,0,0
ENSG00000291156.2,0,856.23,0,0
ENSG00000273443.2,0,925.18,0,0
ENSG00000217801.13,0,1151.68,0,0
ENSG00000304119.1,2,206.07,12.27278347,6.264744629
ENSG00000304169.1,0,510.01,0,0
ENSG00000237330.3,0,1832.68,0,0
ENSG00000131591.18,2,1764.68,1.433150764,0.731563754
ENSG00000285812.1,1,1027.68,1.230466921,0.628102097
ENSG00000299943.1,0,1586.68,0,0
ENSG00000223823.1,0,1552.68,0,0
ENSG00000304965.1,0,782.68,0,0
ENSG00000207730.3,0,27.68,0,0
ENSG00000207607.3,0,22.68,0,0
ENSG00000198976.1,0,15.68,0,0
ENSG00000272141.1,0,919.68,0,0
ENSG00000205231.1,0,3464.68,0,0
ENSG00000162571.14,0,1082.31,0,0
ENSG00000186891.14,2,783.68,3.227149462,1.647325344
ENSG00000186827.12,2,1084.68,2.331611619,1.190190587
ENSG00000304412.1,0,431.68,0,0
ENSG00000078808.20,47,1865.68,31.85580246,16.26105991
ENSG00000176022.7,30,2737.68,13.85691073,7.07337559
ENSG00000184163.3,0,637.88,0,0
ENSG00000260179.1,0,1490.68,0,0
ENSG00000160087.21,56,2192.68,32.29539638,16.48545429
ENSG00000230415.2,0,533.01,0,0
ENSG00000162572.21,2,2611.68,0.968362315,0.494308616
ENSG00000131584.19,12,2546.16,5.959686329,3.042171566
ENSG00000278073.1,0,3.06,0,0
ENSG00000169972.13,1,1189.68,1.062912922,0.542572761
ENSG00000127054.22,21,1248.93,21.2622414,10.85348836
ENSG00000283712.1,0,4.14,0,0
ENSG00000240731.1,1,318.68,3.968012568,2.025505092
ENSG00000224051.7,15,2086.68,9.089986811,4.640059541
ENSG00000169962.5,0,3407.68,0,0
ENSG00000107404.21,13,2858.68,5.750500647,2.935390991
ENSG00000284372.1,0,2.59,0,0
ENSG00000304860.1,0,443.48,0,0
ENSG00000162576.17,0,1331.68,0,0
ENSG00000175756.14,64,783.29,103.3202003,52.74065751
ENSG00000223663.2,0,299.68,0,0
ENSG00000221978.13,120,1940.38,78.20280019,39.91927125
ENSG00000224870.10,1,790.68,1.59928953,0.816370672
ENSG00000242485.6,31,609.36,64.33030327,32.83793956
ENSG00000264293.2,0,225.68,0,0
ENSG00000301639.1,1,407.68,3.101761787,1.58332016
ENSG00000272455.1,0,1455.68,0,0
ENSG00000235098.9,0,1535.48,0,0
ENSG00000225905.2,0,655.18,0,0
ENSG00000205116.4,0,3149.68,0,0
ENSG00000225285.2,0,1034.98,0,0
ENSG00000179403.12,0,1911.68,0,0
ENSG00000215915.10,3,3796.68,0.999183164,0.510041375
ENSG00000160072.20,2,3761.81,0.672296711,0.34317946
ENSG00000290916.2,0,443.68,0,0
ENSG00000284740.3,0,159.68,0,0
ENSG00000197785.14,3,2059.47,1.842016993,0.940272929
ENSG00000205090.10,0,1021.18,0,0
ENSG00000299413.1,0,451.68,0,0
ENSG00000160075.12,64,1516.99,53.3488551,27.2323678
ENSG00000215014.5,3,1158.37,3.274928335,1.671714468
ENSG00000274481.1,0,332.68,0,0
ENSG00000228594.4,6,2056.68,3.689031581,1.883096922
ENSG00000286989.2,4,703.09,7.194107413,3.672292098
ENSG00000272106.1,3,1970.68,1.925010015,0.982637409
ENSG00000197530.13,23,480.69,60.50490678,30.88523403
ENSG00000189409.14,0,462.68,0,0
ENSG00000248333.9,58,1040.03,70.51962176,35.99732878
ENSG00000272004.2,0,598.43,0,0
ENSG00000189339.12,60,5486.7,13.82827104,7.058756224
ENSG00000293187.1,1,1354.68,0.933450147,0.476487409
ENSG00000269737.3,0,434.68,0,0
ENSG00000310190.1,0,763.68,0,0
ENSG00000310238.1,0,840.68,0,0
ENSG00000215914.4,0,949.68,0,0
ENSG00000008128.23,1,804.38,1.572050828,0.80246645
ENSG00000268575.1,0,5011.68,0,0
ENSG00000293188.2,4,808.68,6.254767004,3.192797956
ENSG00000290854.2,2,1248.11,2.026305767,1.03434467
ENSG00000215790.9,0,664.68,0,0
ENSG00000227775.4,0,429.68,0,0
ENSG00000008130.15,18,2556.5,8.903372742,4.544800834
ENSG00000302550.1,0,282.68,0,0
ENSG00000078369.19,84,2460.98,43.16175044,22.03227531
ENSG00000231050.4,0,767.01,0,0
ENSG00000303984.1,0,287.68,0,0
ENSG00000294910.1,0,412.01,0,0
ENSG00000306476.1,0,263.68,0,0
ENSG00000169885.10,0,905.43,0,0
ENSG00000178821.13,0,668.85,0,0
ENSG00000142609.20,0,2562.78,0,0
ENSG00000233542.3,0,1119.48,0,0
ENSG00000187730.9,0,1968.68,0,0
ENSG00000304958.1,0,771.93,0,0
ENSG00000226969.2,0,552.01,0,0
ENSG00000067606.17,0,880.6,0,0
ENSG00000308181.1,0,855.18,0,0
ENSG00000271806.1,0,4128.68,0,0
ENSG00000182873.5,0,870.18,0,0
ENSG00000162585.17,11,884.07,15.7338092,8.031454061
ENSG00000304038.1,0,814.18,0,0
ENSG00000234396.3,0,258.68,0,0
ENSG00000304143.1,0,643.68,0,0
ENSG00000157933.11,52,6015.68,10.930662,5.579647533
ENSG00000295493.1,0,156.68,0,0
ENSG00000287356.2,0,1270.15,0,0
ENSG00000116151.14,4,1421.12,3.559238475,1.816842949
ENSG00000272161.1,0,425.68,0,0
ENSG00000292993.1,0,2339.68,0,0
ENSG00000269896.3,0,146.68,0,0
ENSG00000272420.1,3,500.68,7.576852951,3.867667749
ENSG00000295371.1,0,436.68,0,0
ENSG00000157916.20,40,1118.58,45.21898283,23.08240673
ENSG00000157911.11,0,1406.35,0,0
ENSG00000149527.18,0,2727.73,0,0
ENSG00000224387.1,0,387.68,0,0
ENSG00000229393.1,0,446.68,0,0
ENSG00000157881.16,0,1060.76,0,0
ENSG00000197921.6,0,1256.68,0,0
ENSG00000272449.4,0,1463.68,0,0
ENSG00000238164.7,0,554.72,0,0
ENSG00000307979.1,0,1572.68,0,0
ENSG00000157873.18,0,1592.7,0,0
ENSG00000225931.3,0,1229.68,0,0
ENSG00000307958.1,0,1271.68,0,0
ENSG00000228037.2,0,681.22,0,0
ENSG00000289610.3,0,626.68,0,0
ENSG00000157870.17,0,2438.68,0,0
ENSG00000142606.16,0,1090.24,0,0
ENSG00000237058.2,0,371.68,0,0
ENSG00000215912.13,0,7712.68,0,0
ENSG00000285945.1,0,525.68,0,0
ENSG00000283259.1,0,1497.68,0,0
ENSG00000233234.1,0,539.68,0,0
ENSG00000287396.2,0,639.35,0,0
ENSG00000231630.1,0,361.68,0,0
ENSG00000302855.1,0,706.68,0,0
ENSG00000295089.1,0,435.68,0,0
ENSG00000300015.1,0,455.68,0,0
ENSG00000284745.2,0,1684.43,0,0
ENSG00000169717.7,0,1369.68,0,0
ENSG00000177133.15,0,976.31,0,0
ENSG00000142611.17,0,3211.38,0,0
ENSG00000283572.1,0,3.06,0,0
ENSG00000226286.1,0,401.68,0,0
ENSG00000306427.1,0,447.68,0,0
ENSG00000279839.1,0,2609.68,0,0
ENSG00000306439.1,0,587.68,0,0
ENSG00000272235.1,0,3393.68,0,0
ENSG00000287828.2,0,794.18,0,0
ENSG00000286518.1,0,2716.68,0,0
ENSG00000295754.1,0,662.68,0,0
ENSG00000297626.1,0,676.68,0,0
ENSG00000130762.15,0,1705.11,0,0
ENSG00000272088.1,0,314.68,0,0
ENSG00000162591.17,11,6988.68,1.990331321,1.015981214
ENSG00000207776.1,0,28.68,0,0
ENSG00000309127.1,0,313.68,0,0
ENSG00000238260.4,1,675.68,1.871486865,0.955316071
ENSG00000158109.15,39,2121.68,23.24409127,11.86514015
ENSG00000116213.16,14,1773.79,9.980531762,5.094645635
ENSG00000078900.16,0,4738.68,0,0
ENSG00000227589.1,0,686.68,0,0
ENSG00000235131.1,0,283.68,0,0
ENSG00000293478.2,12,1337.05,11.34910059,5.793243001
ENSG00000276189.1,0,93.68,0,0
ENSG00000227372.13,0,1387.68,0,0
ENSG00000162592.10,0,2286.68,0,0
ENSG00000296834.1,0,589.68,0,0
ENSG00000235169.11,3,438.68,8.647712993,4.414297184
ENSG00000130764.10,93,3770.66,31.18842346,15.92039074
ENSG00000266075.2,3,229.68,16.51680049,8.431138491
ENSG00000272153.1,0,463.68,0,0
ENSG00000116198.14,67,1464.83,57.83828733,29.5240359
ENSG00000169598.17,12,801.12,18.94137575,9.668783147
ENSG00000198912.12,20,1577.68,16.03019935,8.182748883
ENSG00000236423.9,1,1114.56,1.134551971,0.579141511
ENSG00000233304.8,0,1317.68,0,0
ENSG00000226374.4,0,1146.48,0,0
ENSG00000284668.3,0,639.99,0,0
ENSG00000284703.2,0,3078.68,0,0
ENSG00000296871.1,0,1422.68,0,0
ENSG00000308587.1,0,606.18,0,0
ENSG00000229280.1,0,304.68,0,0
ENSG00000301255.1,0,371.68,0,0
ENSG00000299169.1,0,1739.68,0,0
ENSG00000302287.1,0,470.18,0,0
ENSG00000235054.5,0,1191.21,0,0
ENSG00000306535.1,0,983.68,0,0
ENSG00000284694.1,0,3334.68,0,0
ENSG00000299517.1,0,908.68,0,0
ENSG00000227169.2,0,288.68,0,0
ENSG00000295490.1,0,333.68,0,0
ENSG00000232596.3,0,990.31,0,0
ENSG00000300565.1,1,784.68,1.611518384,0.822612992
ENSG00000303830.1,0,1042.28,0,0
ENSG00000196581.11,0,4860.35,0,0
ENSG00000287586.1,0,2924.68,0,0
ENSG00000284739.2,0,493.35,0,0
ENSG00000284674.1,0,1512.68,0,0
ENSG00000309102.1,0,343.68,0,0
ENSG00000309111.1,0,665.68,0,0
ENSG00000231510.1,0,381.68,0,0
ENSG00000296716.1,0,767.68,0,0
ENSG00000302269.1,0,1222.68,0,0
ENSG00000306645.1,0,544.68,0,0
ENSG00000284616.1,0,1157.68,0,0
ENSG00000302445.1,0,2448.68,0,0
ENSG00000302452.1,0,787.68,0,0
ENSG00000295735.1,0,652.68,0,0
ENSG00000284692.3,0,1067.18,0,0
ENSG00000284666.1,0,541.68,0,0
ENSG00000260972.1,0,1629.68,0,0
ENSG00000299325.1,0,364.68,0,0
ENSG00000283356.1,0,67.68,0,0
ENSG00000289893.2,1,732.75,1.725726708,0.880911584
ENSG00000264341.1,0,6.81,0,0
ENSG00000295108.1,2,1002.68,2.522292746,1.287525358
ENSG00000295122.1,0,723.18,0,0
ENSG00000298180.1,0,292.68,0,0
ENSG00000264101.1,0,5.72,0,0
ENSG00000131697.18,2,3899.68,0.64852821,0.331046631
ENSG00000299539.1,0,280.68,0,0
ENSG00000069424.16,120,3239.49,46.84167861,23.91072531
