"10","11","1285","2268","3371"
"GBP2","GBP2",NA,"IL4R","IRF7"
"MOV10","MOV10",NA,"IFI30",NA
"NMI","SELL",NA,NA,NA
"SP110","SP110",NA,NA,NA
"UBA7","UBA7",NA,NA,NA
"IRF1","IRF1",NA,NA,NA
"PSMB8","PSMB8",NA,NA,NA
"PSMB9","PSMB9",NA,NA,NA
"TAP1","TAP1",NA,NA,NA
"CMTR1","CMTR1",NA,NA,NA
"NCOA7","NCOA7",NA,NA,NA
"PARP12","PARP12",NA,NA,NA
"NUB1","LY6E",NA,NA,NA
"RIPK2","IFITM1",NA,NA,NA
"LY6E","TRIM21",NA,NA,NA
"IFITM1","TRAFD1",NA,NA,NA
"TRIM21","LPAR6",NA,NA,NA
"TRAFD1","IRF9",NA,NA,NA
"LPAR6","B2M",NA,NA,NA
"IRF9","ISG20",NA,NA,NA
"WARS1","TRIM25",NA,NA,NA
"B2M","IFI30",NA,NA,NA
"ISG20",NA,NA,NA,NA
"TRIM25",NA,NA,NA,NA
