"RefSeq.accession.number","Gene.Name","ensembl_gene_id"
"NM_000018","ACADVL ","ENSG00000072778"
"NM_000021","PSEN1 ","ENSG00000080815"
"NM_000026","ADSL ","ENSG00000239900"
"NM_000031","ALAD ","ENSG00000148218"
"NM_000060","BTD ",NA
"NM_000075","CDK4 ","ENSG00000135446"
"NM_000097","CPOX ","ENSG00000080819"
"NM_000099","CST3 ","ENSG00000101439"
"NM_000100","CSTB ","ENSG00000160213"
"NM_000107","DDB2 ","ENSG00000134574"
"NM_000108","DLD ","ENSG00000091140"
"NM_000113","TOR1A ","ENSG00000136827"
"NM_000116","TAZ ","ENSG00000102125"
"NM_000117","EMD ","ENSG00000102119"
"NM_000122","ERCC3 ","ENSG00000163161"
"NM_000123","ERCC5 ","ENSG00000134899"
"NM_000126","ETFA ","ENSG00000140374"
"NM_000140","FECH ","ENSG00000066926"
"NM_000143","FH ","ENSG00000091483"
"NM_000144","FXN ","ENSG00000165060"
"NM_000152","GAA ","ENSG00000291507"
"NM_000152","GAA ","ENSG00000171298"
"NM_000155","GALT ","ENSG00000213930"
"NM_000157","GBA ","ENSG00000262446"
"NM_000157","GBA ","ENSG00000177628"
"NM_000159","GCDH ","ENSG00000105607"
"NM_000175","GPI ","ENSG00000282019"
"NM_000175","GPI ","ENSG00000105220"
"NM_000178","GSS ","ENSG00000100983"
"NM_000179","MSH6 ","ENSG00000116062"
"NM_000182","HADHA ","ENSG00000084754"
"NM_000190","HMBS ","ENSG00000256269"
"NM_000195","HPS1 ","ENSG00000107521"
"NM_000244","MEN1 ","ENSG00000133895"
"NM_000249","MLH1 ","ENSG00000076242"
"NM_000252","MTM1 ","ENSG00000171100"
"NM_000255","MUT ","ENSG00000146085"
"NM_000268","NF2 ","ENSG00000186575"
"NM_000271","NPC1 ","ENSG00000141458"
"NM_000274","OAT ","ENSG00000065154"
"NM_000285","PEPD ","ENSG00000124299"
"NM_000286","PEX12 ","ENSG00000108733"
"NM_000287","PEX6 ","ENSG00000124587"
"NM_000291","PGK1 ","ENSG00000102144"
"NM_000293","PHKB ","ENSG00000102893"
"NM_000302","PLOD1 ","ENSG00000083444"
"NM_000308","CTSA ","ENSG00000064601"
"NM_000314","PTEN ","ENSG00000171862"
"NM_000314","PTEN ","ENSG00000284792"
"NM_000318","PEX2 ","ENSG00000164751"
"NM_000319","PEX5 ","ENSG00000288217"
"NM_000319","PEX5 ","ENSG00000139197"
"NM_000365","TPI1 ","ENSG00000111669"
"NM_000374","UROD ","ENSG00000126088"
"NM_000375","UROS ","ENSG00000188690"
