DER_IFN_ALPHA_RESPONSE_DN,DER_IFN_ALPHA_RESPONSE_UP,DER_IFN_BETA_RESPONSE_DN,DER_IFN_BETA_RESPONSE_UP,ISHIKAWA_STING_SIGNALING
https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/DER_IFN_ALPHA_RESPONSE_DN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/DER_IFN_ALPHA_RESPONSE_UP,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/DER_IFN_BETA_RESPONSE_DN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/DER_IFN_BETA_RESPONSE_UP,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ISHIKAWA_STING_SIGNALING
COX17,ADAR,ARHGAP4,ADAM9,ADAR
EIF3E,ATP6V0B,CHRNB2,ADAR,CCL5
FBXW4P1,B2M,IGF2,AP3M2,IFNA1
FEZ1,BAG1,PLPP3,ARID3A,IFNB1
LARP4B,BBC3,SGSH,ATP6V0B,IRF1
PLPP3,BST2,SLC30A3,B2M,IRF2
,BTG1,TBCE,BAG1,IRF6
,C1S,TRAF6,BCLAF1,IRF7
,CASP8,,BST2,IRF9
,CD164,,BTG1,
,COL16A1,,C1S,
,CSRP3,,CALD1,
,CYCS,,CASP8,
,DDX17,,CD164,
,EIF2B1,,CEBPD,
,EPS15,,CSRP3,
,FAS,,CTR9,
,GBP1,,CYCS,
,GMPR,,DDX1,
,HLA-A,,DDX17,
,HLA-C,,DDX21,
,HLA-E,,DNAJC2,
,IFI16,,EIF2AK2,
,IFI30,,EIF2B1,
,IFI35,,EIF3A,
,IFI44,,ELF1,
,IFI6,,ELK4,
,IFIT1,,EPRS1,
,IFIT3,,EPS15,
,IFITM1,,ETS2,
,IL6,,FOSL1,
,IRF1,,FUBP1,
,IRF2,,GBP1,
,IRF9,,GMFB,
,ISG15,,HADH,
,LIPA,,HADHB,
,MAP3K10,,HIF1A,
,MX1,,HLA-A,
,MX2,,HLA-C,
,NMI,,HLA-E,
,OAS1,,IFI16,
,OAS2,,IFI30,
,OASL,,IFI35,
,PDXK,,IFI44,
,PLOD2,,IFI6,
,PLSCR1,,IFIT1,
,PMAIP1,,IFIT2,
,PML,,IFIT3,
,POLR2B,,IFIT5,
,PPP3CA,,IFITM1,
,PSMB10,,IL6,
,PSMB8,,IQGAP1,
,PSMB9,,IRF1,
,PSME1,,IRF2,
,RBBP4,,IRF9,
,RHOC,,ISG15,
,SDCBP,,ITGA2,
,SEM1,,LIPA,
,SKP1,,MAP1B,
,SMAD4,,MAP3K10,
,SP110,,MX1,
,SRP9,,MX2,
,SRSF2,,NAP1L1,
,SSBP1,,NMI,
,STAT1,,OAS1,
,TAP1,,OAS2,
,TEAD4,,OASL,
,TRIM14,,PARP1,
,TRIM21,,PARP4,
,TRIM22,,PDXK,
,TRIM26,,PLAUR,
,VEGFC,,PLOD2,
,XRCC6,,PLSCR1,
,ZFP36L2,,PMAIP1,
,,,PML,
,,,POLR2B,
,,,PPP3CA,
,,,PPP5C,
,,,PSMB10,
,,,PSMB8,
,,,PSMB9,
,,,PSME1,
,,,PTPN11,
,,,RBBP4,
,,,RBMX,
,,,RHOC,
,,,SEM1,
,,,SKP1,
,,,SMAD4,
,,,SP110,
,,,SRP9,
,,,SRSF2,
,,,SSBP1,
,,,STAT1,
,,,TAP1,
,,,TEAD1,
,,,TRAPPC10,
,,,TRIM14,
,,,TRIM21,
,,,TRIM22,
,,,TRIM26,
,,,XRCC6,
,,,ZFP36L2,
