KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,KEGG_MEDICUS_REFERENCE_TYPE_I_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,WP_INTERFERON_TYPE_I_SIGNALING,WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION
https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_REFERENCE_TYPE_I_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_INTERFERON_TYPE_I_SIGNALING,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION
ADAR,IFNA1,ATG12,CBL,ACE2
AIM2,IFNA10,ATG5,CREB1,EIF2AK2
CASP1,IFNA13,AZI2,CRK,IFIH1
CCL4,IFNA14,CASP10,CRKL,IFNAR1
CCL4L2,IFNA16,CASP8,EIF4A1,IFNAR2
CCL5,IFNA17,CHUK,EIF4B,IKBKE
CHUK,IFNA2,CXCL10,EIF4E,IRAK4
CXCL10,IFNA21,CXCL8,EIF4EBP1,IRF3
IFNA1,IFNA4,CYLD,FYN,IRF7
IFNA10,IFNA5,DDX3X,GAB2,IRF9
IFNA13,IFNA6,DDX3Y,IFNAR1,JAK1
IFNA14,IFNA7,DHX58,IFNAR2,MAVS
IFNA16,IFNA8,FADD,IRF9,MYD88
IFNA17,IFNAR1,IFIH1,IRS1,OAS1
IFNA2,IFNAR2,IFNA1,IRS2,OAS2
IFNA21,IFNB1,IFNA10,JAK1,OAS3
IFNA4,IFNE,IFNA13,LCK,RIGI
IFNA5,IFNK,IFNA14,MAP2K3,STAT1
IFNA6,IFNW1,IFNA16,MAP2K6,STAT2
IFNA7,IRF9,IFNA17,MAP3K1,TBK1
IFNA8,JAK1,IFNA2,MAPK14,TLR2
IFNB1,STAT1,IFNA21,MAPKAP1,TLR3
IKBKB,STAT2,IFNA4,MLST8,TLR4
IKBKE,TYK2,IFNA5,MTOR,TLR6
IKBKG,,IFNA6,PDCD4,TLR7
IL18,,IFNA7,PIAS1,TLR9
IL1B,,IFNA8,PIAS3,TMPRSS2
IL33,,IFNB1,PIK3CD,TRAF3
IL6,,IFNE,PIK3R1,TRAF6
IRF3,,IFNK,PIK3R2,TREML4
IRF7,,IFNW1,PRMT1,TYK2
MAVS,,IKBKB,PTPN11,
NFKB1,,IKBKE,PTPN6,
NFKBIA,,IKBKG,PTPRC,
NFKBIB,,IL12A,RAC1,
POLR1C,,IL12B,RACK1,
POLR1D,,IRF3,RAP1A,
POLR3A,,IRF7,RAPGEF1,
POLR3B,,ISG15,REL,
POLR3C,,MAP3K1,RPS6,
POLR3D,,MAP3K7,RPS6KA4,
POLR3F,,MAPK10,RPS6KA5,
POLR3G,,MAPK11,RPS6KB1,
POLR3GL,,MAPK12,RPTOR,
POLR3H,,MAPK13,SOCS1,
POLR3K,,MAPK14,SOCS3,
PYCARD,,MAPK8,STAT1,
RELA,,MAPK9,STAT2,
RIGI,,MAVS,STAT3,
RIPK1,,NFKB1,STAT4,
RIPK3,,NFKBIA,STAT5A,
STING1,,NFKBIB,TYK2,
TBK1,,NLRX1,VAV1,
TREX1,,OTUD5,ZAP70,
ZBP1,,PIN1,,
,,RELA,,
,,RIGI,,
,,RIPK1,,
,,RNF125,,
,,SIKE1,,
,,STING1,,
,,TANK,,
,,TBK1,,
,,TBKBP1,,
,,TKFC,,
,,TNF,,
,,TRADD,,
,,TRAF2,,
,,TRAF3,,
,,TRAF6,,
,,TRIM25,,
