GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,GOBP_RESPONSE_TO_TYPE_I_INTERFERON,GOBP_TYPE_I_INTERFERON_PRODUCTION
https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_TYPE_I_INTERFERON,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TYPE_I_INTERFERON_PRODUCTION
ACOD1,ARRDC4,ADAR,ACOD1
ATG12,CD14,AZI2,ARRDC4
ATG5,CGAS,CACTIN,ATG12
ATG9A,CHUK,CDC37,ATG5
BANF1,CLEC12A,CH25H,ATG9A
CACTIN,DDX3X,CNOT7,BANF1
CUL3,DHX33,CR2,CACTIN
CYLD,DHX36,DCST1,CD14
DDX56,DHX58,EIF4E2,CGAS
DHX58,DHX9,FADD,CHUK
GBP7,FLOT1,GIGYF2,CLEC12A
GPATCH3,G3BP1,GPR108,CUL3
HAVCR2,GAPDH,HDAC4,CYLD
IL10,GARIN5A,IFI27,DDX3X
ILRUN,HMGB1,IFIH1,DDX56
IRGM,HMGB2,IFIT1,DHX33
ITCH,HSP90AA1,IFITM1,DHX36
KAT8,HSPD1,IFITM2,DHX58
KLHL22,IFIH1,IFITM3,DHX9
LILRA4,IKBKE,IFNA1,DTX4
LILRB1,IRAK1,IFNA10,FLOT1
MIR21,IRF1,IFNA14,G3BP1
MIR26B,IRF3,IFNA16,GAPDH
MORC3,IRF5,IFNA17,GARIN5A
NLRC3,IRF7,IFNA2,GBP7
NLRX1,ISG15,IFNA21,GPATCH3
NMI,KPNA2,IFNA4,HAVCR2
NPLOC4,MAVS,IFNA5,HMGB1
OTUD5,MMP12,IFNA6,HMGB2
PPM1B,MYD88,IFNA7,HSP90AA1
PTPN11,NMB,IFNA8,HSPD1
PTPRS,NMBR,IFNAR1,IFIH1
PYCARD,OAS1,IFNAR2,IKBKE
QKI,OAS2,IFNB1,IL10
RBX1,OAS3,IFNE,ILRUN
REL,PLCG2,IFNK,IRAK1
RELB,POLR3A,IFNW1,IRF1
RNF125,POLR3B,IKBKE,IRF3
RNF216,POLR3C,IRAK1,IRF5
SIGLEC1,POLR3D,IRF3,IRF7
SIRPA,POLR3F,IRF7,IRF8
TRAF3IP1,POLR3G,ISG15,IRGM
TRAIP,PQBP1,JAK1,ISG15
TRIM27,PTPN11,LSM14A,ITCH
TYROBP,PTPN22,MAVS,KAT8
UFD1,RAB2B,METTL3,KLHL22
XAF1,RIGI,MIR21,KPNA2
YY1,RIOK3,MMP12,LILRA4
,RIPK2,MUL1,LILRB1
,RNF135,MX1,MAVS
,SETD2,MYD88,MIR21
,STAT1,NLRC5,MIR26B
,STING1,OAS1,MMP12
,SYK,OAS2,MORC3
,TANK,OAS3,MYD88
,TBK1,OASL,NLRC3
,TICAM1,PTPN1,NLRX1
,TICAM2,PTPN11,NMB
,TLR2,PTPN2,NMBR
,TLR3,PTPN6,NMI
,TLR4,RBM47,NPLOC4
,TLR7,RNF185,OAS1
,TLR8,SAMHD1,OAS2
,TLR9,SETD2,OAS3
,TOMM70,SHFL,OTUD5
,TRAF3,SHMT2,PLCG2
,TRAF3IP3,SIN3A,POLA1
,TRAF6,SMIM30,POLR3A
,TRIM15,SMPD1,POLR3B
,TRIM56,SP100,POLR3C
,TRIM65,STAT1,POLR3D
,UAP1,STAT2,POLR3F
,USP22,STING1,POLR3G
,XIAP,TANK,PPM1B
,ZBTB20,TBK1,PQBP1
,ZC3HAV1,TBKBP1,PTPN11
,ZCCHC3,TRAF3,PTPN22
,,TREX1,PTPRS
,,TRIM41,PYCARD
,,TRIM56,QKI
,,TRIM6,RAB2B
,,TRIM65,RBX1
,,TTLL12,REL
,,TYK2,RELB
,,UBE2K,RIGI
,,USP18,RIOK3
,,USP27X,RIPK2
,,USP29,RNF125
,,WNT5A,RNF135
,,YTHDF2,RNF216
,,YTHDF3,RNF26
,,ZBP1,SETD2
,,,SIGLEC1
,,,SIRPA
,,,STAT1
,,,STING1
,,,SYK
,,,TANK
,,,TBK1
,,,TICAM1
,,,TICAM2
,,,TIRAP
,,,TLR2
,,,TLR3
,,,TLR4
,,,TLR7
,,,TLR8
,,,TLR9
,,,TOMM70
,,,TRAF3
,,,TRAF3IP1
,,,TRAF3IP3
,,,TRAF6
,,,TRAIP
,,,TREX1
,,,TRIM15
,,,TRIM21
,,,TRIM27
,,,TRIM38
,,,TRIM56
,,,TRIM65
,,,TYROBP
,,,UAP1
,,,UFD1
,,,USP22
,,,XAF1
,,,XIAP
,,,YY1
,,,ZBTB20
,,,ZC3HAV1
,,,ZCCHC3
