gene_id,raw_count,effective_length,FPKM,TPM
ENSG00000223972,0,534.88,0.0,0.0
ENSG00000227232,0,1282.88,0.0,0.0
ENSG00000278267,0,0.0,0.0,0.0
ENSG00000243485,4,380.53,1.0121585101962969,1.2665936749600757
ENSG00000284332,0,40.88,0.0,0.0
ENSG00000237613,0,833.88,0.0,0.0
ENSG00000268020,0,742.88,0.0,0.0
ENSG00000240361,0,841.88,0.0,0.0
ENSG00000186092,0,2520.88,0.0,0.0
ENSG00000241860,0,1152.54,0.0,0.0
ENSG00000239945,0,1221.88,0.0,0.0
ENSG00000233750,3,3714.88,0.07775957996321486,0.09730668779325798
ENSG00000268903,0,657.88,0.0,0.0
ENSG00000269981,35,186.88,18.033609436503223,22.566876056345674
ENSG00000239906,0,225.88,0.0,0.0
ENSG00000222623,0,6.88,0.0,0.0
ENSG00000241599,0,359.88,0.0,0.0
ENSG00000279928,0,472.88,0.0,0.0
ENSG00000279457,0,1299.88,0.0,0.0
ENSG00000273874,0,0.0,0.0,0.0
ENSG00000228463,0,359.88,0.0,0.0
ENSG00000236679,0,287.88,0.0,0.0
ENSG00000236601,0,328.88,0.0,0.0
ENSG00000269732,0,265.88,0.0,0.0
ENSG00000284733,0,841.88,0.0,0.0
ENSG00000237094,0,85.88,0.0,0.0
ENSG00000233653,0,2379.88,0.0,0.0
ENSG00000250575,0,1141.88,0.0,0.0
ENSG00000278757,0,6.88,0.0,0.0
ENSG00000225880,60,2007.16,2.8783705176841665,3.6019317677655804
ENSG00000235146,0,594.13,0.0,0.0
ENSG00000225972,2,274.88,0.7005905811353987,0.8767041820659152
ENSG00000225630,517,946.88,52.574244483604936,65.79029357350781
ENSG00000237973,103,1445.88,6.859341339211184,8.583634151287352
ENSG00000278791,0,2.08,0.0,0.0
ENSG00000229344,9,584.88,1.4816757715108106,1.8541376095066588
ENSG00000240409,0,109.88,0.0,0.0
ENSG00000248527,8281,583.88,1365.6412488720537,1708.9344708967208
ENSG00000198744,19,449.88,4.06662714491361,5.088890888413907
ENSG00000268663,0,326.88,0.0,0.0
ENSG00000284662,0,841.88,0.0,0.0
ENSG00000230021,0,85.88,0.0,0.0
ENSG00000229376,0,2357.88,0.0,0.0
ENSG00000223181,0,6.88,0.0,0.0
ENSG00000229905,0,358.88,0.0,0.0
ENSG00000228327,0,319.88,0.0,0.0
ENSG00000237491,12,731.88,1.5787697896581276,1.975639002838816
ENSG00000230092,0,140.88,0.0,0.0
ENSG00000177757,1,1862.88,0.05168833712920274,0.06468168791502373
ENSG00000228794,155,2210.77,6.750960646310393,8.448008852746602
ENSG00000230368,0,904.16,0.0,0.0
ENSG00000234711,0,960.88,0.0,0.0
ENSG00000283040,0,739.88,0.0,0.0
ENSG00000272438,2,2695.88,0.07143431419146935,0.08939138447048042
ENSG00000223764,0,1332.01,0.0,0.0
ENSG00000187634,0,1600.62,0.0,0.0
ENSG00000188976,947,2361.49,38.613690292685135,48.32035239430743
ENSG00000187961,161,1760.24,8.807069652360543,11.020980018682362
ENSG00000187583,38,2292.85,1.5958254748053602,1.9969821251975912
ENSG00000187642,1,2937.88,0.03277505189839245,0.04101400424222208
ENSG00000272512,1,1988.88,0.04841376527052874,0.06058395819915701
ENSG00000188290,11,885.47,1.1961792767499084,1.4968733560872007
ENSG00000187608,868,539.88,154.81032655598338,193.72635655287283
ENSG00000231702,0,56.88,0.0,0.0
ENSG00000224969,0,373.88,0.0,0.0
ENSG00000188157,5,3974.59,0.12113094617463586,0.15158069484291384
ENSG00000242590,0,304.88,0.0,0.0
ENSG00000273443,0,895.38,0.0,0.0
ENSG00000217801,0,1121.88,0.0,0.0
ENSG00000237330,0,1802.88,0.0,0.0
ENSG00000131591,280,1965.02,13.720454474738057,17.169485490874916
ENSG00000223823,0,1522.88,0.0,0.0
ENSG00000207730,0,2.5,0.0,0.0
ENSG00000207607,0,2.15,0.0,0.0
ENSG00000198976,0,1.66,0.0,0.0
ENSG00000272141,0,889.88,0.0,0.0
ENSG00000205231,0,3434.88,0.0,0.0
ENSG00000162571,2,2016.88,0.09548329049943398,0.11948576294389293
ENSG00000186891,148,936.45,15.217894262101426,19.043349855202766
ENSG00000186827,157,965.81,15.65256065580821,19.587282153791005
ENSG00000078808,1264,1696.05,71.76056732505468,89.79965071659927
ENSG00000176022,271,2707.88,9.636455428862629,12.058855774344053
ENSG00000184163,3,459.72,0.6283553215299478,0.7863105115057386
ENSG00000260179,0,1460.88,0.0,0.0
ENSG00000160087,950,1280.36,71.44452419451306,89.40416105156551
ENSG00000230415,4,562.17,0.6851249228614065,0.8573507855854237
ENSG00000162572,36,2761.06,1.2554635179840248,1.571060397163777
ENSG00000131584,503,2651.3,18.267812863138214,22.859953253090602
ENSG00000278073,0,0.0,0.0,0.0
ENSG00000169972,97,1085.76,8.602314911869264,10.764754282681736
ENSG00000127054,1324,1632.87,78.0753277235383,97.7018078382704
ENSG00000283712,0,0.0,0.0,0.0
ENSG00000240731,5,288.88,1.6665945976053933,2.0855411032805904
ENSG00000224051,222,1945.19,10.989258438824653,13.751724745581123
ENSG00000169962,38,3377.88,1.0832203748823137,1.3555189840252753
ENSG00000107404,35,1975.46,1.7059929998550831,2.1348434275611146
ENSG00000284372,0,0.0,0.0,0.0
ENSG00000162576,4,903.88,0.4261148359129495,0.5332310606856636
ENSG00000175756,1145,658.63,167.39459035358297,209.47403714785938
ENSG00000223663,1,269.88,0.356785124763781,0.44647333178871873
ENSG00000221978,2856,1906.87,144.21636923853632,180.4693032396787
ENSG00000224870,243,2085.41,11.219984646430946,14.040450624243135
