Ensemble Gene_ID,Gene,Log2FC,P value,q value
ENSG00000165949,IFI27,5.47457685,7.10E-13,1.23E-08
ENSG00000137959,IFI44L,4.14411624,8.92E-09,5.13E-05
ENSG00000137965,IFI44,3.29752728,3.12E-08,0.00013479
ENSG00000138640,FAM13A,1.07698614,4.24E-08,0.00014637
ENSG00000184979,USP18,3.07383476,5.11E-08,0.00014699
ENSG00000134321,RSAD2,3.80776149,2.26E-07,0.00055761
ENSG00000233937,AC008443.1,0.62416944,6.24E-07,0.0013456
ENSG00000089127,OAS1,2.42170057,1.44E-06,0.00206998
ENSG00000160932,LY6E,2.24145466,2.13E-06,0.00262741
ENSG00000111335,OAS2,1.94770229,2.48E-06,0.00284863
ENSG00000088827,SIGLEC1,3.27130336,3.23E-06,0.00312157
ENSG00000111331,OAS3,3.0442372,3.26E-06,0.00312157
ENSG00000152778,IFIT5,1.42273458,3.02E-06,0.00312157
ENSG00000185745,IFIT1,2.98487769,3.86E-06,0.00334243
ENSG00000002549,LAP3,1.47435748,4.94E-06,0.00405446
ENSG00000126709,IFI6,2.48379418,6.15E-06,0.00461345
ENSG00000187608,ISG15,2.52593691,7.79E-06,0.00560248
ENSG00000136514,RTP4,1.7631959,1.21E-05,0.0083763
ENSG00000134326,CMPK2,2.62946732,1.30E-05,0.00863426
ENSG00000152558,TMEM123,0.70294479,1.36E-05,0.00871362
ENSG00000132530,XAF1,1.85134977,1.66E-05,0.00985393
ENSG00000163221,S100A12,1.4857399,1.63E-05,0.00985393
ENSG00000092036,HAUS4,0.99649372,1.86E-05,0.0103257
ENSG00000114737,CISH,0.86598138,1.97E-05,0.0103257
ENSG00000133106,EPSTI1,2.46074178,1.94E-05,0.0103257
ENSG00000143889,HNRNPLL,0.6097212,2.24E-05,0.01121206
ENSG00000137628,DDX60,1.61718908,2.87E-05,0.01306437
ENSG00000138646,HERC5,2.37787042,2.88E-05,0.01306437
ENSG00000157601,MX1,2.29737112,2.84E-05,0.01306437
ENSG00000092020,PPP2R3C,0.58836256,2.97E-05,0.01316318
ENSG00000163220,S100A9,1.12392366,3.42E-05,0.01440023
ENSG00000118113,MMP8,2.37589452,4.08E-05,0.01563028
ENSG00000280129,AL132780.5,0.75503395,4.13E-05,0.01563028
ENSG00000170448,NFXL1,1.34434427,4.30E-05,0.01579731
ENSG00000183696,UPP1,0.59211065,4.41E-05,0.01584207
ENSG00000108387,4-Sep,1.81033356,4.67E-05,0.01643305
ENSG00000135114,OASL,2.02244497,4.97E-05,0.01682915
ENSG00000225964,NRIR,2.13464458,5.03E-05,0.01682915
ENSG00000055332,EIF2AK2,1.53112895,6.95E-05,0.02104219
ENSG00000196141,SPATS2L,2.03996366,6.74E-05,0.02104219
ENSG00000029153,ARNTL2,1.21915921,8.02E-05,0.02232432
ENSG00000188313,PLSCR1,1.49274419,8.04E-05,0.02232432
ENSG00000279320,AC069528.2,1.50691053,7.64E-05,0.02232432
ENSG00000119917,IFIT3,2.23911112,9.79E-05,0.02489038
ENSG00000204936,CD177,2.79167467,0.00010033,0.02489038
ENSG00000283646,LINC02009,1.7937874,0.00010055,0.02489038
ENSG00000132274,TRIM22,1.26961605,0.00010982,0.02560943
ENSG00000138642,HERC6,1.32749231,0.00010731,0.02560943
ENSG00000078081,LAMP3,1.79472595,0.00011313,0.02602859
ENSG00000155307,SAMSN1,0.68987201,0.00011757,0.02669503
ENSG00000177409,SAMD9L,1.33646216,0.00012295,0.02720079
ENSG00000259959,AC107068.1,1.34810086,0.0001725,0.03461287
ENSG00000115267,IFIH1,1.16182664,0.00018357,0.03474818
ENSG00000119922,IFIT2,1.58506694,0.00018277,0.03474818
ENSG00000136689,IL1RN,1.05797396,0.00018727,0.03474818
ENSG00000237135,DDX10P1,1.11856279,0.00017641,0.03474818
ENSG00000252391,RNU6-638P,0.58974232,0.00019854,0.03568675
ENSG00000096006,CRISP3,1.68033883,0.00020377,0.03580728
ENSG00000183019,MCEMP1,1.34458514,0.00020597,0.03580728
ENSG00000185880,TRIM69,0.69051149,0.00021166,0.03580728
ENSG00000068079,IFI35,1.28955177,0.00022846,0.03790719
ENSG00000123610,TNFAIP6,1.53922323,0.00025427,0.04155728
ENSG00000185338,SOCS1,1.22407771,0.00025919,0.04179919
ENSG00000118520,ARG1,1.85996629,0.00028161,0.04306327
ENSG00000271605,MILR1,0.92653529,0.00027783,0.04306327
ENSG00000169385,RNASE2,1.12349298,0.00028745,0.04351092
ENSG00000136048,DRAM1,0.7341568,0.00031276,0.04652549
ENSG00000108771,DHX58,1.07942752,0.00032358,0.04731998
ENSG00000110079,MS4A4A,1.2281579,0.00034651,0.04913431
ENSG00000205413,SAMD9,0.75210651,0.00033985,0.04913431
ENSG00000021355,SERPINB1,0.65353398,0.00035151,0.04931444
ENSG00000148848,ADAM12,-1.3995635,7.49E-09,5.13E-05
ENSG00000155066,PROM2,-1.8436698,9.93E-07,0.00185401
ENSG00000253924,AC103831.1,-1.48723,1.07E-06,0.00185401
ENSG00000170624,SGCD,-2.2075324,1.22E-06,0.00191702
ENSG00000187621,TCL6,-1.7739979,1.97E-06,0.00260965
ENSG00000198574,SH2D1B,-1.2933908,5.17E-06,0.00405446
ENSG00000166428,PLD4,-0.7795005,1.88E-05,0.0103257
ENSG00000132561,MATN2,-1.3016115,2.27E-05,0.01121206
ENSG00000169583,CLIC3,-1.2680942,3.18E-05,0.01373406
ENSG00000058404,CAMK2B,-1.6295945,3.78E-05,0.01553338
ENSG00000108797,CNTNAP1,-0.8840344,5.07E-05,0.01682915
ENSG00000159164,SV2A,-0.8934569,6.46E-05,0.02084433
ENSG00000126016,AMOT,-0.8158532,6.85E-05,0.02104219
ENSG00000105426,PTPRS,-0.9140214,7.44E-05,0.02213735
ENSG00000075275,CELSR1,-0.8576495,8.41E-05,0.02232432
ENSG00000081985,IL12RB2,-0.8371094,8.06E-05,0.02232432
