"10","11","1285","2268","3371"
"C1orf159","C1orf159","CAPZB","MTHFR","CAPZB"
"INTS11","INTS11","WDTC1","MRTO4","ID3"
"CCNL2","CCNL2","RBBP4","ATP5IF1","EIF3I"
"MRPL20-AS1","MRPL20-AS1","LRRC41","RBBP4","ZBTB8OS"
"ATAD3A","ATAD3A","TGFBR3","TGFBR3","RBBP4"
"CDK11B","CDK11B","TMED5","POLR3GL","CTPS1"
"SLC35E2B","SLC35E2B","ATP1A1","CDC42SE1","RTCA"
"NADK","NADK","RIT1","BTG2","KCNA3"
"TNFRSF25","TNFRSF25","SH2D2A","NUCKS1","POLR3GL"
"RERE","RERE","FCER1A","YOD1","MEF2D"
"MTOR","MTOR","IVNS1ABP","GEN1","COPA"
"UBIAD1","UBIAD1","RGS1","LCLAT1","FCGR2B"
"VPS13D","VPS13D","IPO9","APLF","RALGPS2"
"DHRS3","DHRS3","YOD1","ANXA4","IVNS1ABP"
"FBXO42","FBXO42","PACC1","TEX261","ZBTB18"
"IFFO2","IFFO2","GEN1","SUCLG1","RNASEH1"
"AKR7A2","CAPZB","DNMT3A","CD8B","GEN1"
"CAPZB","MUL1","DPY30","GCA","DPY30"
"MUL1","EIF4G3","APLF","UBR3","PAPOLG"
"EIF4G3","CNR2","ACTR1B","PLCL1","APLF"
"PITHD1","RCAN3","GCA","METTL21A","ANXA4"
"CNR2","LDLRAP1","COQ10B","XRCC5","TEX261"
"RCAN3","SH3BGRL3","PLCL1","MLH1","UBR3"
"LDLRAP1","UBXN11","C2orf69","ZNF619","PLCL1"
"SH3BGRL3","WDTC1","METTL21A","ZNF197","XRCC5"
"UBXN11","SYTL1","NISCH","TMEM42","EIF4E2"
"SYTL1","AHDC1","EEFSEC","ELP6","ZNF619"
"STX12","STX12","TFDP2","ARIH2","ZNF197"
"PPP1R8","PTAFR","CHST2","TCTA","ARIH2"
"PTAFR","RCC1","P2RY13","CD96","GMPPB"
"RCC1","YTHDF2","SKIL","COX17","NXPE3"
"YTHDF2","MECR","NDUFB5","HSPBAP1","SLC35A5"
"MECR","PTP4A2","CCDC50","ASTE1","COX17"
"PTP4A2","TXLNA","LSG1","SKIL","SLC15A2"
"TXLNA","LCK","FGFBP2","NDUFB5","HPS3"
"LCK","HDAC1","ZCCHC4","CCDC50","SKIL"
"HDAC1","BSDC1","DCK","LSG1","NDUFB5"
"BSDC1","ZMYM1","RCHY1","FGFBP2","DNAJB11"
"ZBTB8OS","AGO4","GAR1","ZCCHC4","CCDC50"
"AGO4","AGO3","TIFA","ATP8A1","LSG1"
"AGO3","MAP7D1","ZNF330","RASGEF1B","ZCCHC4"
"MTF1","MTF1","LSM6","ABRAXAS1","DCK"
"PPIE","PPIE","NR3C2","GAR1","ANTXR2"
"RLF","RLF","TMEM154","ELOVL6","ABRAXAS1"
"COL9A2","COL9A2","ARFIP1","NR3C2","GAR1"
"SLC2A1","HIVEP3","SUB1","GZMA","TIFA"
"DPH2","SLC2A1","STARD4","ARRDC3","MAML3"
"UROD","DPH2","FCHSD1","STARD4","HPGD"
"TOE1","UROD","CCNG1","CDC42SE2","BASP1"
"POMGNT1","TOE1","STK10","FCHSD1","ZNF131"
"LRRC41","GPBP1L1","HLA-DRA","UBLCP1","STARD4"
"ATPAF1","POMGNT1","TRERF1","CANX","CDC42SE2"
"OSBPL9","LRRC41","BICRAL","HLA-DRA","HARS2"
"TXNDC12","ATPAF1","FYN","BICRAL","PPARGC1B"
"ZFYVE9","OSBPL9","MAN1A1","NFKBIE","CANX"
"LRP8","TXNDC12","STX7","IBTK","ZKSCAN4"
"HOOK1","ZFYVE9","SGK1","MICAL1","HLA-DRA"
"JAK1","CZIB","SYTL3","SGK1","NFKBIE"
"LEPROT","LRP8","NFE2L3","ZC3H12D","ELOVL5"
"SERBP1","HOOK1","TAX1BP1","SYTL3","CGAS"
"SRSF11","JAK1","OGDH","CYTH3","IBTK"
"PIGK","LEPROT","AUTS2","ANKMY2","UFL1"
"MIGA1","SERBP1","PHTF2","RP9","STX7"
"FUBP1","SRSF11","CLDN15","HERPUD2","ZC3H12D"
"SH3GLB1","PIGK","DNAJB9","BUD23","SYTL3"
"LMO4","FUBP1","SMIM30","PHTF2","GLCCI1"
"GBP2","SH3GLB1","ZC3HAV1","ARPC1B","HERPUD2"
"LRRC8C","LMO4","TNFRSF10B","TSC22D4","PHTF2"
"RPAP2","GBP2","BAG4","DNAJC2","TSC22D4"
"DIPK1A","RPAP2","TMEM64","SRPK2","DNAJC2"
