"10","11","1285","2268","3371"
"C1orf159","C1orf159","YOD1","RBBP4","ZBTB8OS"
"INTS11","INTS11","GCA","TGFBR3","APLF"
"MRPL20-AS1","MRPL20-AS1","NDUFB5","POLR3GL","PLCL1"
"CDK11B","CDK11B","ZCCHC4","LCLAT1","XRCC5"
"NADK","NADK","GAR1","APLF","ZNF197"
"TNFRSF25","TNFRSF25","ARFIP1","CD8B","COX17"
"RERE","RERE","HLA-DRA","GCA","CCDC50"
"MTOR","MTOR","BAG4","XRCC5","ZCCHC4"
"UBIAD1","UBIAD1","TMEM64","FGFBP2","GAR1"
"CAPZB","IFFO2","LIPN","CDC42SE2","TIFA"
"MUL1","CAPZB","TUBGCP2","HLA-DRA","HLA-DRA"
"CNR2","MUL1","HBB","HERPUD2","ELOVL5"
"RCAN3","CNR2","GOLT1B","PHTF2","CAAP1"
"LDLRAP1","RCAN3","SLC38A2","PIP4P2","BET1L"
"SYTL1","LDLRAP1","CS","LIPN","TMEM41B"
"STX12","SYTL1","PNP","BET1L","AMPD3"
"RCC1","RCC1","MPRIP","CTSW","RGCC"
"LCK","LCK","GYS1","PNP","PNP"
"MTF1","MTF1","DYNLT3","MPI","LYSMD2"
"PPIE","PPIE",NA,"CLCN7","TLNRD1"
"SLC2A1","SLC2A1",NA,"RPL23A","HAPSTR1"
"DPH2","DPH2",NA,"CCL4","CCL4"
"UROD","UROD",NA,"RNF125","SOCS3"
"TOE1","TOE1",NA,"IL12RB1","ARHGDIA"
"POMGNT1","POMGNT1",NA,NA,"TMEM259"
"LRRC41","LRRC41",NA,NA,"KDELR1"
"TXNDC12","ATPAF1",NA,NA,"MGME1"
"ZFYVE9","TXNDC12",NA,NA,NA
"LRP8","ZFYVE9",NA,NA,NA
"LMO4","LRP8",NA,NA,NA
"S1PR1","PIGK",NA,NA,NA
"PRPF38B","LMO4",NA,NA,NA
"TAF13","DIPK1A",NA,NA,NA
"PSMA5","CDC14A",NA,NA,NA
"WDR77","S1PR1",NA,NA,NA
"MOV10","PRPF38B",NA,NA,NA
"MAN1A2","TAF13",NA,NA,NA
"CD160","PSMA5",NA,NA,NA
"PIAS3","CD53",NA,NA,NA
"CTSS","WDR77",NA,NA,NA
"CDC42SE1","DDX20",NA,NA,NA
"PI4KB","MOV10",NA,NA,NA
"MRPL9","MAN1A2",NA,NA,NA
"S100A6","CD160",NA,NA,NA
"S100A4","PIAS3",NA,NA,NA
"ILF2","PLEKHO1",NA,NA,NA
"IL6R","CDC42SE1",NA,NA,NA
"FCRL2","PI4KB",NA,NA,NA
"USP21","MRPL9",NA,NA,NA
"PPOX","S100A6",NA,NA,NA
"FCRLA","S100A4",NA,NA,NA
"SUCO","ILF2",NA,NA,NA
"TOR3A","IL6R",NA,NA,NA
"TOR1AIP2","DPM3",NA,NA,NA
"NIBAN1","PEA15",NA,NA,NA
"ODR4","PEX19",NA,NA,NA
"CAMSAP2","USP21",NA,NA,NA
"PPP1R12B","PPOX",NA,NA,NA
"NUCKS1","FCRLA",NA,NA,NA
"IKBKE","KIFAP3",NA,NA,NA
"MAPKAPK2","SUCO",NA,NA,NA
"FCMR","TOR3A",NA,NA,NA
"RHOU","TOR1AIP2",NA,NA,NA
"TAF5L","NIBAN1",NA,NA,NA
"IRF2BP2","ODR4",NA,NA,NA
"ZBTB18","CAMSAP2",NA,NA,NA
"SMYD3","PPP1R12B",NA,NA,NA
"CNST","KLHL12",NA,NA,NA
"ZNF496","NUCKS1",NA,NA,NA
"TRAPPC12","IKBKE",NA,NA,NA
"RNASEH1","MAPKAPK2",NA,NA,NA
"DTNB","FCMR",NA,NA,NA
"PREB","RHOU",NA,NA,NA
"SLC5A6","TAF5L",NA,NA,NA
"SNX17","IRF2BP2",NA,NA,NA
"BABAM2","ZBTB18",NA,NA,NA
"NLRC4","SMYD3",NA,NA,NA
"CRIM1","CNST",NA,NA,NA
"FEZ2","ZNF496",NA,NA,NA
"HEATR5B","TRAPPC12",NA,NA,NA
"CEBPZOS","RNASEH1",NA,NA,NA
"CDC42EP3","DTNB",NA,NA,NA
"CYP1B1","PREB",NA,NA,NA
"ZFP36L2","SLC5A6",NA,NA,NA
"RHOQ","BABAM2",NA,NA,NA
"CCDC88A","NLRC4",NA,NA,NA
"REL","FEZ2",NA,NA,NA
"CCT4","HEATR5B",NA,NA,NA
"TEX261","CDC42EP3",NA,NA,NA
"HTRA2","CYP1B1",NA,NA,NA
"MAT2A","CCDC88A",NA,NA,NA
"SNRNP200","REL",NA,NA,NA
"ZAP70","CCT4",NA,NA,NA
"IL18RAP","UGP2",NA,NA,NA
"ANAPC1","TEX261",NA,NA,NA
"ZC3H6","HTRA2",NA,NA,NA
"IL1RN","MAT2A",NA,NA,NA
"MARCO","SNRNP200",NA,NA,NA
"MAP3K2","ZAP70",NA,NA,NA
"AMMECR1L","IL18RAP",NA,NA,NA
"SMPD4","ANAPC1",NA,NA,NA
"CCDC115","ZC3H6",NA,NA,NA
"CXCR4","IL1RN",NA,NA,NA
"ZEB2","MARCO",NA,NA,NA
"EPC2","MAP3K2",NA,NA,NA
"BAZ2B","AMMECR1L",NA,NA,NA
"METTL8","SMPD4",NA,NA,NA
"STAT4","CCDC115",NA,NA,NA
"NBEAL1","CXCR4",NA,NA,NA
"CYP20A1","ZEB2",NA,NA,NA
"RPL37A","EPC2",NA,NA,NA
"TMBIM1","BAZ2B",NA,NA,NA
"BCS1L","METTL5",NA,NA,NA
"ZFAND2B","METTL8",NA,NA,NA
"ATG9A","MFSD6",NA,NA,NA
"ANKZF1","STAT4",NA,NA,NA
"DNPEP","NBEAL1",NA,NA,NA
"MRPL44","CYP20A1",NA,NA,NA
"GIGYF2","RPL37A",NA,NA,NA
"ATG4B","TMBIM1",NA,NA,NA
"DTYMK","BCS1L",NA,NA,NA
"TADA3","ZFAND2B",NA,NA,NA
"ARPC4","ATG9A",NA,NA,NA
"MKRN2","ANKZF1",NA,NA,NA
"NUP210","DNPEP",NA,NA,NA
"SH3BP5","GIGYF2",NA,NA,NA
"TGFBR2","TADA3",NA,NA,NA
"ACAA1","ARPC4",NA,NA,NA
"VIPR1","MKRN2",NA,NA,NA
"POMGNT2","SH3BP5",NA,NA,NA
"ABHD5","TGFBR2",NA,NA,NA
"TMEM42","LRRFIP2",NA,NA,NA
"LARS2","ACAA1",NA,NA,NA
"CCR1","VIPR1",NA,NA,NA
"P4HTM","POMGNT2",NA,NA,NA
"DALRD3","TMEM42",NA,NA,NA
"USP19","LARS2",NA,NA,NA
"C3orf62","CCR1",NA,NA,NA
"TCTA","P4HTM",NA,NA,NA
"RNF123","DALRD3",NA,NA,NA
"UBA7","C3orf62",NA,NA,NA
"IFRD2","TCTA",NA,NA,NA
"NPRL2","RNF123",NA,NA,NA
"MANF","UBA7",NA,NA,NA
"TEX264","IFRD2",NA,NA,NA
"PARP3","NPRL2",NA,NA,NA
"ATXN7","TEX264",NA,NA,NA
"IFT57","PARP3",NA,NA,NA
"SIDT1","ATXN7",NA,NA,NA
"LRRC58","RIOX2",NA,NA,NA
"OSBPL11","IFT57",NA,NA,NA
"RPN1","SIDT1",NA,NA,NA
"ASTE1","LRRC58",NA,NA,NA
"ACP3","RPN1",NA,NA,NA
"HPS3","CNBP",NA,NA,NA
"DHX36","ASTE1",NA,NA,NA
"SLC33A1","HPS3",NA,NA,NA
"SMC4","DHX36",NA,NA,NA
"SKIL","SLC33A1",NA,NA,NA
"GNB4","SMC4",NA,NA,NA
"CCDC39","GNB4",NA,NA,NA
"MCCC1","CCDC39",NA,NA,NA
"EIF2B5","MCCC1",NA,NA,NA
"AP2M1","EIF2B5",NA,NA,NA
"LPP","EIF4A2",NA,NA,NA
"ATP13A3","LPP",NA,NA,NA
"UBXN7","ATP13A3",NA,NA,NA
"NCBP2AS2","UBXN7",NA,NA,NA
"TMEM129","NRROS",NA,NA,NA
"RNF4","ATP5ME",NA,NA,NA
"TBC1D14","TMEM129",NA,NA,NA
"TAPT1","RNF4",NA,NA,NA
"RBPJ","FAM193A",NA,NA,NA
"TLR6","TAPT1",NA,NA,NA
"SMIM14","ANAPC4",NA,NA,NA
"UBE2K","TLR6",NA,NA,NA
"NFXL1","UBE2K",NA,NA,NA
"MOB1B","NFXL1",NA,NA,NA
"SCARB2","MOB1B",NA,NA,NA
"HELQ","DCK",NA,NA,NA
"PDLIM5","HELQ",NA,NA,NA
"LEF1","PDLIM5",NA,NA,NA
"LARP7","BDH2",NA,NA,NA
"SCLT1","INTS12",NA,NA,NA
"MGST2","LEF1",NA,NA,NA
"FBXW7","SCLT1",NA,NA,NA
"RAPGEF2","MGST2",NA,NA,NA
"MTRR","TBC1D9",NA,NA,NA
"RAD1","FBXW7",NA,NA,NA
"SNX18","RAPGEF2",NA,NA,NA
"ANKRD55","SNX25",NA,NA,NA
"ZSWIM6","MTRR",NA,NA,NA
"NSA2","OXCT1",NA,NA,NA
"POLK","SNX18",NA,NA,NA
"TENT2","IL6ST",NA,NA,NA
"ZFYVE16","ANKRD55",NA,NA,NA
"CHD1","NDUFAF2",NA,NA,NA
"ST8SIA4","ZSWIM6",NA,NA,NA
"FNIP1","RAD17",NA,NA,NA
"HARS2","GFM2",NA,NA,NA
"ITK","NSA2",NA,NA,NA
"EBF1","POLK",NA,NA,NA
"CCNG1","TENT2",NA,NA,NA
"RARS1","MTX3",NA,NA,NA
"TSPAN17","ZFYVE16",NA,NA,NA
"RMND5B","ARRDC3",NA,NA,NA
"MRNIP","ERAP1",NA,NA,NA
"TBC1D9B","SLC25A46",NA,NA,NA
"GCNT2","FNIP1",NA,NA,NA
"ATXN1","HARS2",NA,NA,NA
"DEK","TNIP1",NA,NA,NA
"HLA-E","ITK",NA,NA,NA
"MRPS18B","EBF1",NA,NA,NA
"DHX16","CCNG1",NA,NA,NA
"FLOT1","NUDCD2",NA,NA,NA
"LTB","RARS1",NA,NA,NA
"CLIC1","RMND5B",NA,NA,NA
"SNHG32","MRNIP",NA,NA,NA
"NEU1","TBC1D9B",NA,NA,NA
"EHMT2","TRIM41",NA,NA,NA
"NELFE","GCNT2",NA,NA,NA
"ATF6B","ATXN1",NA,NA,NA
"PSMB9","DEK",NA,NA,NA
"TAP1","H1-2",NA,NA,NA
"WDR46","HLA-E",NA,NA,NA
"RGL2","MRPS18B",NA,NA,NA
"TAPBP","DHX16",NA,NA,NA
"PHF1","FLOT1",NA,NA,NA
"ITPR3","LTB",NA,NA,NA
"ZNF76","CLIC1",NA,NA,NA
"MAPK13","SNHG32",NA,NA,NA
"CMTR1","NEU1",NA,NA,NA
"PPP2R5D","EHMT2",NA,NA,NA
"SRF","NELFE",NA,NA,NA
"PLA2G7","ATF6B",NA,NA,NA
"EFHC1","PSMB8",NA,NA,NA
"NT5E","PSMB9",NA,NA,NA
