DER_IFN_ALPHA_RESPONSE_DN,DER_IFN_ALPHA_RESPONSE_UP,DER_IFN_BETA_RESPONSE_DN,DER_IFN_BETA_RESPONSE_UP,DER_IFN_GAMMA_RESPONSE_DN,DER_IFN_GAMMA_RESPONSE_UP,GEISS_RESPONSE_TO_DSRNA_DN,GEISS_RESPONSE_TO_DSRNA_UP,GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,GOBP_RESPONSE_TO_TYPE_I_INTERFERON,GOBP_TYPE_I_INTERFERON_PRODUCTION,GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_DN,GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_UP,GSE16450_CTRL_VS_IFNA_12H_STIM_MATURE_NEURON_CELL_LINE_DN,GSE16450_CTRL_VS_IFNA_12H_STIM_MATURE_NEURON_CELL_LINE_UP,GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_DN,GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_UP,GSE16450_CTRL_VS_IFNA_6H_STIM_MATURE_NEURON_CELL_LINE_DN,GSE16450_CTRL_VS_IFNA_6H_STIM_MATURE_NEURON_CELL_LINE_UP,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_12H_IFNA_STIM_DN,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_12H_IFNA_STIM_UP,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_6H_IFNA_STIM_DN,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_6H_IFNA_STIM_UP,GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_WITH_IFNA_STIM_DN,GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_WITH_IFNA_STIM_UP,GSE1740_UNSTIM_VS_IFNA_STIMULATED_MCSF_DERIVED_MACROPHAGE_DN,GSE1740_UNSTIM_VS_IFNA_STIMULATED_MCSF_DERIVED_MACROPHAGE_UP,GSE1740_UNSTIM_VS_IFNA_STIMULATED_MCSF_IFNG_DERIVED_MACROPHAGE_DN,GSE1740_UNSTIM_VS_IFNA_STIMULATED_MCSF_IFNG_DERIVED_MACROPHAGE_UP,GSE22589_HEALTHY_VS_HIV_AND_SIV_INFECTED_DC_DN,GSE22589_HEALTHY_VS_HIV_AND_SIV_INFECTED_DC_UP,GSE22589_HEALTHY_VS_HIV_INFECTED_DC_DN,GSE22589_HEALTHY_VS_HIV_INFECTED_DC_UP,GSE22589_HEALTHY_VS_SIV_INFECTED_DC_DN,GSE22589_HEALTHY_VS_SIV_INFECTED_DC_UP,GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_DN,GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_UP,GSE22589_SIV_VS_HIV_AND_SIV_INFECTED_DC_DN,GSE22589_SIV_VS_HIV_AND_SIV_INFECTED_DC_UP,GSE3920_IFNA_VS_IFNB_TREATED_ENDOTHELIAL_CELL_DN,GSE3920_IFNA_VS_IFNB_TREATED_ENDOTHELIAL_CELL_UP,GSE3920_IFNA_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN,GSE3920_IFNA_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP,GSE3920_IFNA_VS_IFNG_TREATED_FIBROBLAST_DN,GSE3920_IFNA_VS_IFNG_TREATED_FIBROBLAST_UP,GSE3920_IFNB_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN,GSE3920_IFNB_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP,GSE3920_UNTREATED_VS_IFNA_TREATED_ENDOTHELIAL_CELL_DN,GSE3920_UNTREATED_VS_IFNA_TREATED_ENDOTHELIAL_CELL_UP,GSE3920_UNTREATED_VS_IFNA_TREATED_FIBROBLAST_DN,GSE3920_UNTREATED_VS_IFNA_TREATED_FIBROBLAST_UP,GSE3920_UNTREATED_VS_IFNB_TREATED_ENDOTHELIAL_CELL_DN,GSE3920_UNTREATED_VS_IFNB_TREATED_ENDOTHELIAL_CELL_UP,GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_DN,GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP,GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN,GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP,GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_DN,GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP,GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN,GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP,GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_DN,GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP,GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_DN,GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP,GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_DN,GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP,GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN,GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP,GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_DN,GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP,GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_DN,GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP,ISHIKAWA_STING_SIGNALING,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,KEGG_MEDICUS_REFERENCE_TYPE_I_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,WP_INTERFERON_TYPE_I_SIGNALING,WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION
COX17,ADAR,ARHGAP4,ADAM9,COX17,ADAR,CDC14A,ACSL3,ACOD1,ARRDC4,ADAR,ACOD1,ADAMTS19,ABL2,ABCC1,ABCA2,ABI2,ACAP2,ABCB8,A1CF,ABTB2,ABCA7,ACRV1,ADAR,ABCA9,ACACA,ADCY5,ABRA,ABL1,ADCY2,ABHD3,ABHD11,ACP2,ACOT11,ACSL1,AARS1,AATF,ACD,ACTL9,ACP3,ACTG1,ABCA5,ACACA,ADRB2,ACP3,ACO1,ACAP2,ACP3,ABTB3,ACER3,AATF,ABL2,AASDH,ABCC4,ABCA3,AEBP2,ABCD3,ACAP2,ABCB7,ABCC4,ABHD11,ABCC5,ABCA1,AACS,AAMDC,AACS,ABHD1,ACAA1,ABCA2,ABCA7,ABRAXAS1,ABR,AASDH,ACOT9,ADAR,ADAR,IFNA1,ATG12,CBL,ACE2
EIF3E,ATP6V0B,CHRNB2,ADAR,EIF3E,ATP6V0B,DNMT3A,ADAR,ATG12,CD14,AZI2,ARRDC4,ADGRE2,ABTB3,ACER3,ABHD8,ACP5,ADH4,ACTR2,ABCA4,ACTN1,ABCB1,ADCK5,ADGRD1,ACTL6B,ACAD8,ADM,ACTR5,ACAD9,ADCY4,ABHD5,ADGRG3,ACP3,ADAM8,ADAMTS12,ABI3,ADCY9,AGFG1,ADGRG1,ACTL9,ADAMTS6,ABHD15,ACLY,AFG2A,ACSBG1,ACOXL,ACAT1,ADAM12,ACSS3,ADAM17,ABI3,ABTB2,ACSF3,ACKR3,ACSF2,ALDOC,ABL2,ACSL5,ABI1,ABCC5,ABHD12,ACAD8,ABHD12,ACTR1B,ABHD12,ACTR1B,ACP6,ADAT2,ABI3,ABCC2,ACBD4,ACADVL,ACKR3,ACTN4,CCL5,AIM2,IFNA10,ATG5,CREB1,EIF2AK2
FBXW4P1,B2M,IGF2,AP3M2,FBXW4P1,B2M,EFNB3,AFAP1,ATG5,CGAS,CACTIN,ATG12,ADGRG3,ACACA,ACVR1B,ACD,ADH4,AFF1,ADAP1,ADAM11,AEN,ACAP1,ADH7,ADGRG3,AFF2,ACAD9,AMN1,ADGRA3,ADI1,AMN1,ABL2,AKR1C4,ACSS1,ADGRG3,ADAMTS6,ADM,AGO2,AMHR2,AGL,ADAMTS16,ADD2,ABLIM2,ACOXL,AGO3,ACTN1,ADAMTS6,ACLY,ADGRG5,ADGRE5,ALCAM,ACACA,ACR,ACTN1,ACOX2,ACSS1,ALPG,ACP6,ADAMTS2,ACAD10,ADGRG3,ABI2,ACOX2,ACADSB,ADAM17,ACP7,AGPAT3,ACSM3,ADGRE5,ACADVL,ABRAXAS1,ACKR3,ACOT9,ACTN1,ADK,IFNA1,CASP1,IFNA13,AZI2,CRK,IFIH1
FEZ1,BAG1,PLPP3,ARID3A,FEZ1,BAG1,MEIS1,ANXA1,ATG9A,CHUK,CDC37,ATG5,ADM,ADGRA3,AGO1,ACKR3,ADRB2,AFF3,ADORA2A,ADAMTS19,AMZ1,ADD1,ADTRP,ADM,AFP,ACOX1,APOL1,ADGRF3,AFG2B,ANK3,ABRAXAS2,AKR7A2,ADAMTS19,ANAPC15,AKAP12,AGAP3,AKR1B15,ARFGAP2,AGO2,AKAIN1,ADGRE5,ABTB1,ACSF3,AKAP13,ADAMTSL4,AFG1L,ADD1,AQP3,ANP32E,ANXA3,AFG2A,ADAM9,ADD1,ADAMDEC1,ACTR10,ANGPTL3,ADA,ADHFE1,ALDOB,AEBP2,ACAT1,ACTG2,ADAT1,AGFG1,ACSF2,AGPAT5,ADCY5,ADPRH,ACTN4,ACTN1,ADPRM,ADAM8,ADGRE4P,AHNAK,IFNB1,CCL4,IFNA14,CASP10,CRKL,IFNAR1
LARP4B,BBC3,SGSH,ATP6V0B,IDI1,BAK1,MMP1,ATF3,BANF1,CLEC12A,CH25H,ATG9A,AEN,ADK,AKT2,ACOX2,AHNAK,ANKRD46,ADRB2,AHCYL2,APPBP2,ADGRE5,ALDH16A1,AFF2,ALAD,ACSL3,APOL6,AMT,AGO1,ANKRD36C,ACVR2A,ALDH18A1,ADGRV1,ARMC1,ALDH1B1,ANAPC4,ALDH6A1,ARMH4,ALOX12B,AMELX,ALAS2,ACOT11,AK1,ANKDD1A,ADGRG5,AJUBA,AIFM1,ARMCX2,ANXA6,APOC1,ALG11,ADARB1,ADD3,ADGRV1,ADAMTS1,ARFIP2,ADO,AKNA,ANGPT4,AGO1,ACVR1B,ACTR10,AK4,AGPAT3,ACTN3,AK2,ADIPOR1,AFF2,ADAM10,ACVR2A,AFF2,ADCY9,AK2,ALCAM,IRF1,CCL4L2,IFNA16,CASP8,EIF4A1,IFNAR2
PLPP3,BST2,SLC30A3,B2M,INPP5A,BBC3,PARG,BIRC2,CACTIN,DDX3X,CNOT7,BANF1,AFDN-DT,ADNP2,ALDH2,ACSM3,ANXA1,ANKRD7,AKAP13,AKR1C4,ARAP2,AKNA,ALDH5A1,AHNAK,ALOXE3,ACVR2A,ARHGAP15,ANKRD52,AIFM1,AP4S1,AGL,ALG5,AKT3,ATMIN,AP2B1,ANKRD13D,ANGPTL4,ARV1,AMZ1,AMHR2,APLP1,ACSBG1,AKAP1,AOC2,ADH1A,APAF1,AKR1B10,ASB18,ARHGAP19,ARL8B,APOBEC1,ADGRD1,AIFM1,AFF3,ADAMTS7,ARL14EP,AKR7A2,ANKRD40,AP1G2,AIP,ADAMTS7,ADAM8,ALKBH7,APPBP2,ADAT1,APIP,ADORA2A,AFG3L2,ADCY9,ADGRE1,AIF1,AGFG2,AK3,ANXA2,IRF2,CCL5,IFNA17,CHUK,EIF4B,IKBKE
,BTG1,TBCE,BAG1,LARP4B,BST2,PCK2,BNIP3,CUL3,DHX33,CR2,CACTIN,AK4,AGPS,AMMECR1L,ADGRV1,ANXA2R,ANO6,AKT1S1,ANO1,ASNS,ALDH6A1,ALPL,AMN,AMDHD1,ADI1,ARTN,ANKRD54,AKR1B1,APOL2,ALG10,ALYREF,ALAS2,ATP6V0E2,ASAH2,ANKRD54,ANKRD27,ASPDH,APOF,ANKRD2,APOBEC2,ACVR1B,ALG10B,ARL13B,ALDH3B1,APLP1,APBB1IP,ATP5F1E,ASB13,ATP5IF1,ARAF,ADORA1,AKAP1,ALOX12,ADHFE1,ASB4,ALDH18A1,APOC3,AP5S1,AKAP7,ADAR,ADPRH,ANGEL1,ARHGAP25,AGPAT2,ARFIP2,AGFG1,AP2B1,AGAP2,ADGRE4P,AK3,AHNAK,ALDH3A2,ANXA4,IRF6,CHUK,IFNA2,CXCL10,EIF4E,IRAK4
,C1S,TRAF6,BCLAF1,PKD1,BTG1,PLAU,BTN3A3,CYLD,DHX36,DCST1,CD14,ALDOC,ANXA2R-AS1,ANTKMT,ADORA3,AP1G2,ANXA1,ALDH4A1,APOBR,ATP6V0C,AMPD1,ANKRD9,ANO8,ANKFN1,AFG2B,BCL2A1,ANXA10,ALKBH5,ARHGEF17,ALG11,ANGEL1,ALDH1B1,BAG2,ASB6,ANTKMT,ARHGAP45,ATAD3A,ARHGEF37,ANO1,ARHGAP25,ADD3,AMMECR1,ARL5B,ALKBH2,ARAP2,ARHGAP1,ATP6V1B1,ASRGL1,ATP6AP2,ARG1,ADORA2A,AKR1B10,ANGEL2,ADORA3,ATF5,AMN,ARHGEF1,ARHGAP30,AKT2,AFG1L,AKTIP,ARHGAP18,ARHGEF39,AIFM3,ARHGAP19,AHCYL2,APPL2,AGO4,ADPRM,ALDH3A2,AIM2,ALDH5A1,APOBEC3F,IRF7,CXCL10,IFNA21,CXCL8,EIF4EBP1,IRF3
,CASP8,,BST2,PTX3,C1S,PRKAR1B,CCL2,DDX56,DHX58,EIF4E2,CGAS,AMER2,ARB2A,APOE,ANK3,APBB1,APC,AP3B1,ARMC9,ATP6V1D,AMPD3,APEH,ANP32A,ANKMY2,AKR1B1,BCL7B,AP1AR,ALOX15,ARHGEF5,ANO6,ANGPTL4,ALDH1L1,BAG4,ASTN1,ARHGAP4,ARMCX4,ATP13A5,ATF7IP,ANXA7,ATP6AP1L,ADGRG5,ANKRD42,ATF3,AP1M2,ARNT2,ASAH2,B3GALT4,ATG16L1,ATP6V0D1,ARHGEF7,ADORA2B,AMMECR1,ANKRD11,ANKRD55,ATP10D,ANKMY2,ARMC2,ARHGDIA,ANKRD54,AFG3L2,ALDH3A1,ARMC3,ARPC1A,AKT3,ARPC1A,AKR1B1,AQP9,AGTRAP,AEN,ALPK1,AKT1,ANAPC16,ARAP2,IRF9,IFNA1,IFNA4,CYLD,FYN,IRF7
