DER_IFN_ALPHA_RESPONSE_DN,DER_IFN_ALPHA_RESPONSE_UP,DER_IFN_BETA_RESPONSE_DN,DER_IFN_BETA_RESPONSE_UP,GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,GOBP_RESPONSE_TO_TYPE_I_INTERFERON,GOBP_TYPE_I_INTERFERON_PRODUCTION,ISHIKAWA_STING_SIGNALING,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,KEGG_MEDICUS_REFERENCE_TYPE_I_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,WP_INTERFERON_TYPE_I_SIGNALING,WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION
COX17,ADAR,ARHGAP4,ADAM9,ACOD1,ARRDC4,ADAR,ACOD1,ADAR,ADAR,IFNA1,ATG12,CBL,ACE2
EIF3E,ATP6V0B,CHRNB2,ADAR,ATG12,CD14,AZI2,ARRDC4,CCL5,AIM2,IFNA10,ATG5,CREB1,EIF2AK2
FBXW4P1,B2M,IGF2,AP3M2,ATG5,CGAS,CACTIN,ATG12,IFNA1,CASP1,IFNA13,AZI2,CRK,IFIH1
FEZ1,BAG1,PLPP3,ARID3A,ATG9A,CHUK,CDC37,ATG5,IFNB1,CCL4,IFNA14,CASP10,CRKL,IFNAR1
LARP4B,BBC3,SGSH,ATP6V0B,BANF1,CLEC12A,CH25H,ATG9A,IRF1,CCL4L2,IFNA16,CASP8,EIF4A1,IFNAR2
PLPP3,BST2,SLC30A3,B2M,CACTIN,DDX3X,CNOT7,BANF1,IRF2,CCL5,IFNA17,CHUK,EIF4B,IKBKE
,BTG1,TBCE,BAG1,CUL3,DHX33,CR2,CACTIN,IRF6,CHUK,IFNA2,CXCL10,EIF4E,IRAK4
,C1S,TRAF6,BCLAF1,CYLD,DHX36,DCST1,CD14,IRF7,CXCL10,IFNA21,CXCL8,EIF4EBP1,IRF3
,CASP8,,BST2,DDX56,DHX58,EIF4E2,CGAS,IRF9,IFNA1,IFNA4,CYLD,FYN,IRF7
,CD164,,BTG1,DHX58,DHX9,FADD,CHUK,,IFNA10,IFNA5,DDX3X,GAB2,IRF9
,COL16A1,,C1S,GBP7,FLOT1,GIGYF2,CLEC12A,,IFNA13,IFNA6,DDX3Y,IFNAR1,JAK1
,CSRP3,,CALD1,GPATCH3,G3BP1,GPR108,CUL3,,IFNA14,IFNA7,DHX58,IFNAR2,MAVS
,CYCS,,CASP8,HAVCR2,GAPDH,HDAC4,CYLD,,IFNA16,IFNA8,FADD,IRF9,MYD88
,DDX17,,CD164,IL10,GARIN5A,IFI27,DDX3X,,IFNA17,IFNAR1,IFIH1,IRS1,OAS1
,EIF2B1,,CEBPD,ILRUN,HMGB1,IFIH1,DDX56,,IFNA2,IFNAR2,IFNA1,IRS2,OAS2
,EPS15,,CSRP3,IRGM,HMGB2,IFIT1,DHX33,,IFNA21,IFNB1,IFNA10,JAK1,OAS3
,FAS,,CTR9,ITCH,HSP90AA1,IFITM1,DHX36,,IFNA4,IFNE,IFNA13,LCK,RIGI
,GBP1,,CYCS,KAT8,HSPD1,IFITM2,DHX58,,IFNA5,IFNK,IFNA14,MAP2K3,STAT1
,GMPR,,DDX1,KLHL22,IFIH1,IFITM3,DHX9,,IFNA6,IFNW1,IFNA16,MAP2K6,STAT2
,HLA-A,,DDX17,LILRA4,IKBKE,IFNA1,DTX4,,IFNA7,IRF9,IFNA17,MAP3K1,TBK1
,HLA-C,,DDX21,LILRB1,IRAK1,IFNA10,FLOT1,,IFNA8,JAK1,IFNA2,MAPK14,TLR2
,HLA-E,,DNAJC2,MIR21,IRF1,IFNA14,G3BP1,,IFNB1,STAT1,IFNA21,MAPKAP1,TLR3
,IFI16,,EIF2AK2,MIR26B,IRF3,IFNA16,GAPDH,,IKBKB,STAT2,IFNA4,MLST8,TLR4
,IFI30,,EIF2B1,MORC3,IRF5,IFNA17,GARIN5A,,IKBKE,TYK2,IFNA5,MTOR,TLR6
,IFI35,,EIF3A,NLRC3,IRF7,IFNA2,GBP7,,IKBKG,,IFNA6,PDCD4,TLR7
,IFI44,,ELF1,NLRX1,ISG15,IFNA21,GPATCH3,,IL18,,IFNA7,PIAS1,TLR9
,IFI6,,ELK4,NMI,KPNA2,IFNA4,HAVCR2,,IL1B,,IFNA8,PIAS3,TMPRSS2
,IFIT1,,EPRS1,NPLOC4,MAVS,IFNA5,HMGB1,,IL33,,IFNB1,PIK3CD,TRAF3
,IFIT3,,EPS15,OTUD5,MMP12,IFNA6,HMGB2,,IL6,,IFNE,PIK3R1,TRAF6
,IFITM1,,ETS2,PPM1B,MYD88,IFNA7,HSP90AA1,,IRF3,,IFNK,PIK3R2,TREML4
,IL6,,FOSL1,PTPN11,NMB,IFNA8,HSPD1,,IRF7,,IFNW1,PRMT1,TYK2
,IRF1,,FUBP1,PTPRS,NMBR,IFNAR1,IFIH1,,MAVS,,IKBKB,PTPN11,
,IRF2,,GBP1,PYCARD,OAS1,IFNAR2,IKBKE,,NFKB1,,IKBKE,PTPN6,
,IRF9,,GMFB,QKI,OAS2,IFNB1,IL10,,NFKBIA,,IKBKG,PTPRC,
