Ensemble Gene_ID,Gene,Log2FC,P value,q value
ENSG00000165949,IFI27,5.08153135,3.3828E-13,5.72403E-09
ENSG00000184979,USP18,1.904909233,1.80765E-10,1.52936E-06
ENSG00000160932,LY6E,1.904635008,1.36466E-09,5.77286E-06
ENSG00000137959,IFI44L,2.891264563,3.41262E-08,9.62416E-05
ENSG00000137965,IFI44,2.277159544,7.99074E-08,0.000193159
ENSG00000111335,OAS2,1.433702518,1.40676E-07,0.000216397
ENSG00000134321,RSAD2,3.01629597,1.07737E-07,0.000216397
ENSG00000143891,GALM,0.737619529,1.19219E-07,0.000216397
ENSG00000152778,IFIT5,1.073500346,1.29434E-07,0.000216397
ENSG00000089127,OAS1,1.849585515,2.26033E-07,0.000258768
ENSG00000135114,OASL,1.683490541,2.10295E-07,0.000258768
ENSG00000197121,PGAP1,0.644043564,2.44684E-07,0.000258768
ENSG00000187608,ISG15,2.241499,3.32887E-07,0.00033134
ENSG00000185745,IFIT1,2.437533703,3.81407E-07,0.000358544
ENSG00000002549,LAP3,1.124547163,1.64314E-06,0.001438462
ENSG00000132530,XAF1,1.414146526,1.70021E-06,0.001438462
ENSG00000126709,IFI6,1.956624965,2.16852E-06,0.001694592
ENSG00000137628,DDX60,1.220082835,2.32836E-06,0.001694592
ENSG00000157601,MX1,1.864462111,2.24921E-06,0.001694592
ENSG00000167207,NOD2,0.887893014,3.71387E-06,0.002244373
ENSG00000136514,RTP4,1.274530584,4.46572E-06,0.002518817
ENSG00000138642,HERC6,0.940574112,4.3216E-06,0.002518817
ENSG00000111331,OAS3,2.320549259,4.86116E-06,0.002653409
ENSG00000119922,IFIT2,1.32743552,8.43263E-06,0.00419672
ENSG00000134326,CMPK2,1.891113007,1.48734E-05,0.006036351
ENSG00000134668,SPOCD1,1.09526714,1.4983E-05,0.006036351
ENSG00000136689,IL1RN,0.797431998,1.72536E-05,0.006487738
ENSG00000115267,IFIH1,0.908497298,1.89186E-05,0.006959182
ENSG00000138646,HERC5,1.853788614,2.10831E-05,0.007590359
ENSG00000177409,SAMD9L,0.99995079,2.70703E-05,0.009348082
ENSG00000138640,FAM13A,0.814422543,3.08893E-05,0.009861841
ENSG00000055332,EIF2AK2,1.068256344,3.37196E-05,0.010188724
ENSG00000119917,IFIT3,1.78655816,4.31735E-05,0.011988185
ENSG00000270120,AC007728.3,0.935892679,4.32173E-05,0.011988185
ENSG00000164237,CMBL,1.903767205,4.77115E-05,0.012814697
ENSG00000059378,PARP12,0.79389215,5.7718E-05,0.015025321
ENSG00000196141,SPATS2L,1.198437928,5.73854E-05,0.015025321
ENSG00000133106,EPSTI1,1.782025339,5.97875E-05,0.015248476
ENSG00000136816,TOR1B,0.611929745,8.98503E-05,0.021413482
ENSG00000107201,DDX58,0.921554655,0.000106556,0.024365255
ENSG00000088827,SIGLEC1,1.990572637,0.000119756,0.025979466
ENSG00000141664,ZCCHC2,0.925601023,0.000145363,0.030490404
ENSG00000153898,MCOLN2,0.821123104,0.000261459,0.045609691
ENSG00000134121,CHL1,-1.743680346,2.94168E-10,1.65921E-06
ENSG00000144290,SLC4A10,-1.711895346,2.97104E-08,9.62416E-05
ENSG00000154269,ENPP3,-1.544166279,2.35844E-07,0.000258768
ENSG00000163751,CPA3,-2.39399096,2.32213E-07,0.000258768
ENSG00000039560,RAI14,-1.578998846,2.40353E-06,0.001694592
ENSG00000133477,FAM83F,-1.151198417,2.79389E-06,0.001810244
