"","Patient10_2T","Patient1_2T","Patient2_2T","Patient3_5T","Patient4_3T","Patient5_3T","Patient6_4T","Patient7_2T","Patient8_1T","Patient9_1T","SRR17386548","SRR17386549","SRR17386550","SRR17386551","SRR17386552","SRR17386553","SRR17386554","SRR17386555","SRR17386556","SRR17386557","SRR17386558"
"ENSG00000188976",5.54893175712622,6.013597255782,6.57223246004581,5.79143104113227,6.70060715425161,5.95565160440032,6.0701457248111,6.6153923869901,6.48343032303079,6.75166115922476,1.34872129590234,3.43568629089846,3.76368898234743,3.77847243270092,4.24695057282452,3.25752031495605,3.67556775129168,3.73627338782855,4.09928022659652,4.01884170685182,4.33195569081178
"ENSG00000187608",6.58460600601293,6.26684432126527,6.44663236569775,7.69733202080564,6.4705632243589,5.86740835547388,7.64867581660488,8.78578118164801,7.15844600462671,6.48208264460506,5.69449613274407,5.55116350831839,4.32008233087181,5.08513377093497,4.51825259464192,5.88978853045556,5.74595707918307,6.09175404242694,4.37491466920995,5.55227390693289,4.33195569081178
"ENSG00000131591",3.7071134255004,4.93042452952851,4.81610728759615,3.76648468400204,4.48054103555448,4.12220419926125,4.14908892828302,4.46530975267446,4.66889884902913,4.77303481001733,2.9336837966235,1.8507237901773,1.99815423598445,1.11550741997849,2.84840119633425,2.15798464140513,2.09060525057052,3.55570114218673,2.65870763521054,1.35587669412939,-0.191606265245236
"ENSG00000078808",6.11240765061584,6.81842847367656,6.98860164865059,5.99413980241936,7.12396326682363,6.00128809933175,6.00257302106982,7.01589417058026,7.15739063146999,7.03230014935641,6.3931154152608,5.50607561878986,6.24608174942804,5.59663410971511,6.10321509536308,6.14504558569763,6.17806809182086,5.26352039069342,5.73399576251478,6.07469494158534,6.37824934308571
"ENSG00000176022",5.0452269481287,5.18259298502414,4.76905871479171,3.58053425863365,5.82756011140467,4.35635164365789,3.32996751112546,6.11413401468631,5.49767720947087,5.17224482599098,5.69449613274407,4.88634769990802,5.60696347865997,5.14525476337255,5.00367942181216,5.37299753237598,4.72287346607003,5.00636255119629,4.37491466920995,5.19717894811033,5.58975344827942
"ENSG00000160087",6.02311059716998,6.62281762463493,6.57679314363591,5.59004447791612,6.77029416194116,5.95921381618761,6.19142983852251,6.64957548625653,6.34381975196475,6.73910377301237,6.70627330052043,6.03659033548864,6.49640510351228,6.49632920391942,6.15715390247388,6.60801756204018,6.17806809182086,6.33531107376143,6.48070933323255,6.56533005975834,6.57657805953169
"ENSG00000131584",4.92950584683684,5.573887024379,5.66009829499414,4.45708368699084,5.88058582035785,4.38841285289019,4.61654734415879,5.72944671495541,5.8166000364348,5.01908803792956,2.9336837966235,3.43568629089846,4.32008233087181,2.70046992069965,4.14385707986042,2.15798464140513,4.01660466912674,4.60300685696508,1.43631521387409,3.85837703465857,3.50883345289586
"ENSG00000127054",6.8868694363024,7.13684260318869,7.05548245535698,6.69689197351204,7.18181492257738,6.91679182524498,6.88631491321627,7.25745826210998,7.166861311263,7.38556413143966,3.6706493907897,2.33615061734754,5.10249089579919,3.9228623420361,3.47643241894729,3.87419167540454,3.46911687382425,4.40369804874168,4.37491466920995,3.67780478901675,4.45224992452949
"ENSG00000224051",3.96396925640507,4.8369214302128,4.48191185284111,4.29906260454318,4.88195525096935,3.21451894924493,4.26896643899353,5.46398557172708,4.64500273268297,4.92366847285088,4.01168630862477,3.43568629089846,4.63042245148396,3.9228623420361,3.29586017330547,4.105517221511,3.46911687382425,4.04112796935697,4.37491466920995,4.01884170685182,4.20071115753352
"ENSG00000175756",6.05543301927916,6.82479565594635,6.84601207029203,6.18445491705869,6.90571223400868,6.35500017279476,5.86665400603588,7.0950139360283,7.1156170326383,6.64051870572001,6.47800431284731,6.12870853747707,6.68745339652034,6.24479043692346,6.60813809815911,6.78525794698425,6.75736184245532,6.54362830988615,6.56559823081906,6.73669847807032,7.06578157744742
"ENSG00000221978",8.12180408139714,8.34626139102414,8.1642831415713,8.21949684171211,8.18042437303272,7.96852298840413,7.89837147247072,8.51682554037497,8.07175771167008,8.88508601053183,7.24757457244544,7.47716292687462,7.58911547732705,7.33144481917764,7.90860583054017,7.17717820663844,7.59522564297407,7.8137174732539,7.65225261307324,7.58469538462527,7.29220951201902
