"","Patient10_2T","Patient1_2T","Patient2_2T","Patient3_5T","Patient4_3T","Patient5_3T","Patient6_4T","Patient7_2T","Patient8_1T","Patient9_1T","SRR17386548","SRR17386549","SRR17386550","SRR17386551","SRR17386552","SRR17386553","SRR17386554","SRR17386555","SRR17386556","SRR17386557","SRR17386558"
"ENSG00000225630",4.82055683948406,5.11357136841089,4.81705926858844,4.07991106552597,4.92564326492134,5.22394512634079,4.16186155871257,3.70064711763756,5.98432051765341,4.71270750446652,9.40991420212068,4.89909513991856,4.23819934593274,4.04124039387467,3.60863475516207,3.28896183078726,4.16358804329442,3.32471247886725,5.34407381522577,4.14151918905922,4.24497422273455
"ENSG00000248527",9.02090590904671,9.0429760303939,9.15682708027944,8.5500513979922,9.16295332709528,9.17004044437976,8.46466366897072,8.3430598265401,9.98215303619883,9.26018240689874,8.65205176309202,9.61586995328087,8.86913343932214,9.04332845951405,8.60983598044187,9.85268288215231,8.89466897577613,8.89233024632872,9.09317581780223,8.84806578792798,8.84362121136554
"ENSG00000228794",4.28135783578964,4.12897486763501,3.62892179560168,4.07961502101304,3.97458979077388,3.12932056599438,4.69130557578736,3.2090948924223,3.61996172772049,3.66159960167263,4.17831972018315,3.01571075705931,3.87959861497955,3.56733252496075,4.19605032396639,3.58038383892632,4.55055868031109,3.839910044032,4.29719520267182,3.6885563332924,3.08470452009316
"ENSG00000188976",4.7294022281719,4.25318804534497,4.95699624194055,4.45723089227046,5.22515243312345,4.96134716472209,4.53722676042483,4.74674885426705,4.0718270536172,5.17258377604738,2.64181016801777,5.22155634595256,4.33268835882547,4.69890737044795,5.09962008396948,4.21178334182133,4.93909309107262,4.65253605121197,5.53211282559295,4.55195901791038,5.04585954295313
"ENSG00000187608",5.76769611283335,5.14898041770659,5.37486368821647,6.61624719532875,5.50920911112313,4.83992494020509,6.45676071726092,7.65640515264072,5.65669356006644,5.561033559556,6.46756999853807,6.56412213859778,4.71609243692736,5.54287790796746,5.05142282517299,6.35218812364384,6.52451397032111,6.64667091244862,5.28770886004521,5.92845161309159,4.73830108383939
"ENSG00000131591",3.00197465172909,3.41365793797583,3.42326426920412,2.62132761238836,3.20663405568747,3.2745986121913,2.83691621970059,2.85563919333785,2.59922957926425,3.40352548439993,3.99211564679039,3.3277681504958,2.43721486944858,1.86107203964056,3.52885342808549,2.9337023200381,3.11955160349553,4.29133413172147,3.82880994262591,1.76415178216509,0.375195636316586
"ENSG00000078808",6.19069860331407,6.01229354529642,6.30914182407817,5.76950643534207,6.46412525353333,6.21333571798866,5.69695615434669,6.07690469985795,6.07287611989086,6.1155951960177,6.61847722694147,6.01989573738154,6.05093222988331,5.83443346840402,6.07880086159356,6.43157832615959,6.32177091319008,5.29932093945728,5.87783046260432,5.85970106080151,6.39509836976673
"ENSG00000176022",5.56073811374663,4.79614939821777,4.50725055719403,3.87865302832671,5.52890036855219,5.15845058271349,3.598276828145,5.57603483391191,4.99567301524958,4.53193149065996,5.43627152625806,4.83483499863569,5.0517056291162,5.08304447876449,4.57444678647651,5.36883517458779,4.35514348328647,4.63864359523592,3.92736479201959,4.62876063073201,5.28865115072366
"ENSG00000160087",6.20265542590869,6.29089969236901,6.31272146619645,5.63373042808376,6.49566603030383,6.28628150482313,6.21757529968388,6.2374914122054,5.92811561804756,6.27305600002947,6.51502531638537,5.96618433112676,6.1172279887746,6.39315250703632,5.85221109346995,6.53851377768744,5.91945543739802,6.06622876488379,6.18333642642861,6.17728725453171,6.3397430498283
"ENSG00000131584",4.64764905815856,4.09444760601749,4.35972017655638,3.67389575723698,4.66120595969212,4.13321442991394,3.66539449037686,4.08307528491435,3.78834421272694,3.53875333973346,3.8220695457343,4.80905935990505,4.50900092896326,3.42129901071586,4.61519272264078,2.93483491386983,4.82824534161675,5.15491020880461,2.33165091382908,4.01375118217277,3.94403263212786
"ENSG00000127054",5.71435371935397,5.1618302467894,5.20806098368489,4.98917437960981,5.51413378220611,5.43898792254732,4.95556338173282,5.20818629857263,4.4608995041753,5.710747404291,5.25378426713133,4.42907133393422,5.92906203862069,4.99604731439043,4.59438411762826,4.96801141504707,5.05200476366572,5.57607024266717,6.18494406502625,4.46620517862924,5.36352124805467
"ENSG00000224051",4.18285931657345,4.04184707744636,3.83203450675905,4.19413975155829,4.23915883769353,3.62341976150622,4.0825616512573,4.51126475125064,3.57234926843963,3.96877896143494,4.18164608642686,3.91667943973334,4.35254188560427,4.15340907804329,3.20264783885958,4.39345091366065,3.54164609851058,4.0166505617369,4.42856163429502,3.72016689745671,4.17448553476102
"ENSG00000175756",6.27805026986859,6.40287690510643,6.51206875971499,6.22833812118315,6.56160624579684,6.74773079571364,5.88006462681776,6.57120453138527,6.57129612425262,6.06699944776489,6.34523847359005,6.16053010373024,6.30785836418733,6.20664252586628,6.32838444099586,6.78769879260326,6.54726161150523,6.30845240519927,6.31596006963339,6.34561073767113,6.86034969270622
"ENSG00000221978",7.90486279179419,7.68558087825191,7.5652764995182,7.80937631380669,7.61972262192963,7.75753911234911,7.43139621552687,7.80086971188066,7.2012078289367,8.22154799887431,7.45298452756839,7.85710614099162,7.52266337586651,7.46300528996532,7.94509039613325,7.33159801319485,7.76137445052383,7.88149542019407,7.84934307885201,7.5046128222417,7.31895265063865
"ENSG00000224870",2.86823756475786,3.27150229261543,3.69585859045953,3.49961535024531,4.0283298348148,3.39760482778182,3.07945687681144,4.04327140434975,2.31475746950399,3.96352818243742,4.84101036865598,4.43198011312762,1.4169171025226,-0.0975241957991669,3.15634374681912,3.83297338694212,3.46181027749294,3.45404499306378,4.54171517613084,1.49162340927827,3.75860717166231
"ENSG00000242485",5.41252122212622,5.73802724913197,5.68613327454096,5.37195180459747,5.66198733952721,5.5542685341468,5.25022423158722,5.93132768598324,5.29987711280901,5.66504985912754,5.63964340945835,6.37346110402526,5.43099451007704,5.55158249424452,5.588739969165,5.85162510348601,5.49238672502286,4.18405997769048,5.34461466321952,5.46852201233384,5.71831699294475
"ENSG00000160072",4.10854297948847,4.00626117356146,3.96848783926793,3.26795715816568,4.4195214163664,3.29250046944805,3.32248506841309,3.76568619538157,3.01727472856009,4.3562892043216,3.32448180755859,5.01552783936701,2.24380364316134,3.23470542791923,4.35585819177497,3.82160996464971,4.39212421393029,4.04821423990049,2.25161204947507,3.45082251664724,3.88047169228976
"ENSG00000197785",3.42978721941174,3.1159592594185,3.01554190702457,3.10928825261056,3.78505944650415,3.45998614873832,3.32638222559118,3.66628678087181,2.77783400423598,3.50154807114219,3.76607951381127,3.27376895899879,2.38206457968847,2.113779296856,3.35531433922201,3.35293100882439,4.09188647891489,2.08280422629167,3.56802217486796,3.7374746920601,3.78831907898168
"ENSG00000160075",7.32634526344343,7.39766813571934,7.39269523263761,6.80801303109866,7.72590237226829,7.27522530024624,7.20291053800757,7.26490353524478,7.1084264057754,7.24320808930651,7.36519855513394,7.58051411166758,6.87390042096629,6.9225044287081,7.16639529013392,7.31213363229462,7.38154596637655,7.1434807176182,7.42371342022796,6.93051168288387,7.24395132753769
"ENSG00000197530",5.38102985218345,4.75951590623846,5.58328169014559,4.57755702885827,5.40448489084608,5.29367236011698,4.98874792392003,5.48045182789226,5.34923460741865,5.50506725081645,5.89465037817529,4.94064550331241,5.06337474449359,5.02833220325031,4.30254929230879,5.86598886364868,5.83839128147634,5.38014489955657,5.2367369878443,4.34286508561133,5.14862679707234
"ENSG00000248333",4.73225799843201,4.87118427757641,5.68974887767877,4.88396819254076,4.90509726922174,5.28310187849659,5.5461352078629,5.24681004386621,6.00989805764457,4.70208653182283,5.20886367270618,5.09321383678659,5.24579961308503,5.43004461808199,5.22815488345184,6.07466988116241,4.87808729523907,5.19124756646577,5.16353094346826,5.19461151326667,5.47515071172685
"ENSG00000189339",5.96215759803894,6.09698587591877,6.04101983965882,6.18478880517897,6.07968328929425,6.07100660227474,6.19063917535932,6.16739365806912,5.00980905433343,6.37588775089417,6.25662755098103,5.83951504373384,6.20899722769742,5.63517383147285,6.52297112036287,5.81661568348645,5.68908774050357,6.05824246862299,6.0110012429723,6.06473005955157,5.56195701456768
"ENSG00000008130",5.59081990280985,5.83802330655858,6.0685899814439,5.26981690987912,6.2764970111998,5.38896238040152,5.98960817689522,5.63632309752763,4.69309384233433,5.91769159203672,5.28124180287162,6.22648654364743,5.44577231566489,6.05628099830346,5.83473315056152,5.61852380204244,5.02861242483239,5.03173874523795,5.67787801559308,5.86269555253517,5.71743516197766
"ENSG00000078369",7.62707199091933,7.32938928354122,7.52475602290016,6.51943346780233,7.72823821159314,7.70059895761903,6.36873854577475,7.4801447666791,7.84965435602468,6.77622386129285,7.60646355307765,7.48309986476422,6.99734619583344,7.31782385537634,7.1793583240259,7.2801747792813,7.22338233843156,7.28973392102877,7.17512010901937,7.03242283065165,7.50015224427778
"ENSG00000162585",4.59694062464227,4.23580250463747,4.81174833103585,3.93774424643395,4.75516795165506,4.6573943762573,4.26069800525069,4.87258163041908,4.64457133076465,4.57595306645553,4.83558367583497,4.70513490725085,3.95434286419253,4.54336338818246,4.28655806536641,4.70954103001968,4.74552460417564,4.05318634715423,4.71342195584476,4.14791429041051,4.66896326447565
"ENSG00000157933",3.78764349323043,4.37088031521149,4.16913044598587,3.81207751559253,4.38396809527354,5.13819593942155,4.14541505120039,4.56090149839799,5.58489950817538,3.71222847351625,4.2905699168427,3.83344070816154,4.40999520237779,5.19299482233695,5.00695930563548,5.44212748938154,4.3304694738307,4.5626176606894,3.72071740716233,4.60123586587303,4.55151351375183
"ENSG00000157916",5.98051260624948,6.12777775037927,6.17459283809105,6.3736620975967,6.27256082330738,6.26711498210431,6.0614774666225,6.39504604940552,5.96416584424842,6.22709411001733,6.49044340295354,6.2390088267003,6.21154317851595,5.83704925273723,5.71650149893773,6.27327551513432,6.44733617344919,5.95285358123863,6.04467789558329,6.179353055484,6.44388900913764
"ENSG00000157873",3.10299629243905,2.99162895497737,3.06419323593923,2.50561547570954,3.03856447749977,2.31477312697209,2.27038042918858,2.95934260522886,2.31304492171643,3.63170217297007,4.58250988731939,3.59558793886822,0.966812418251324,2.35950433650832,2.52882756636438,2.16543303976081,1.84850400670388,2.81265079065022,3.84856522820167,1.02341277280151,2.60946411503789
"ENSG00000162591",4.91475638567419,4.47079930230263,4.74010264281954,3.5457384287649,4.717222390697,4.12533103913814,3.52938343583964,4.63697355237685,1.74660711602089,4.43538945858625,2.75898311859735,4.50278349159193,4.00212382288619,4.12079170459903,5.12826228340367,3.29380748637144,3.33986657631144,4.18549337394279,3.42251141444603,4.91252661604259,4.32822636869062
"ENSG00000158109",5.32067462706513,5.74753004730904,5.43918077195547,5.32458683444761,5.67155096783186,5.52034048880628,5.41526526508394,5.79889921273248,5.62131694046387,5.15181534314446,5.91038187604318,5.31196440544552,5.24007997147919,5.81391412401129,5.28446435148439,6.10015515667681,5.3406983135559,5.61975827352883,5.20282017658787,5.60403664896548,5.56340140556174
"ENSG00000116213",4.91707250367192,4.96646924499272,4.77236945507202,5.01863032028749,4.83075285857812,4.60152004264442,4.9127421815048,4.85006043668694,4.03072858355704,5.29925718958251,4.84599595542491,4.5659394692025,4.73563420652136,5.60603733022252,5.33849171135809,4.2369376628328,5.80174732706516,4.26092280705514,4.18350110710167,4.81200835463811,4.1556387104193
"ENSG00000293478",3.9878997469197,3.64880785906598,3.11224506992723,2.85177614344385,3.61595777232821,3.73737499336814,3.60475283318845,2.78552717534928,3.48195457346031,4.01256552806937,3.90600594904412,3.74832246319797,4.40878987680261,2.76374066737488,3.77026981756357,3.4993438061107,3.91368995352328,2.59393487011918,2.478863027716,4.09900061198932,3.046049054166
"ENSG00000130764",5.60700454781623,6.10026652599084,6.10769589796388,5.97840512298935,5.92815388304174,6.05712549147336,6.10815367056605,5.6816298412784,6.03744784582468,5.72244001100276,6.14664579761966,5.57051822901816,6.45785181064367,6.14860395094584,5.94297943218273,6.36243382070554,5.68354297139047,6.03582187371574,5.58980136639139,6.14739271065328,6.02918123545608
"ENSG00000116198",6.05146249179144,6.10673548311752,5.84901661089762,6.05309146808778,5.79925907870134,5.50456066795226,5.73413195071643,5.56459287278717,5.93674246866689,5.87423321651796,5.46927145236888,5.60485327374321,6.04323247024092,6.07178987297596,5.86453080232075,6.42239803011867,5.9735226117619,5.60797934241506,5.83698443397117,5.66714212946698,6.09173675756925
"ENSG00000169598",4.24435962340484,4.24123922950696,3.45326574260724,3.88103129165512,4.45017277002829,3.96267085669884,3.71138308918631,3.56545295280206,3.29806905601755,3.89321310543693,3.95322137210017,3.177764850501,4.03182578192294,2.98343851375075,3.77370548458542,4.09235375507491,3.96264464687511,4.6148756143032,3.91092076500765,4.13315178229961,3.69245841883166
"ENSG00000198912",5.23592060514525,5.10773555848347,5.07629316578797,4.81457528813561,4.62159875478152,4.48066413566961,5.02614223175756,4.36058586367421,5.34941537406454,4.76891805045455,5.23255050754727,4.71169742730699,5.16079725283941,4.72460358855009,4.30836169327674,5.33992007849275,5.4646312480554,5.09892137348832,4.58964408505211,4.84409555264239,4.41873240353556
"ENSG00000069424",6.49392445068876,6.91705384603917,6.88722217700222,6.65193420347695,7.07491145344205,7.13093384635982,6.79748662095735,6.96899830919157,6.77707382453267,6.92502741815018,6.90992188514029,6.82550550769768,6.98931883716498,7.12756469067356,6.53906637697832,7.08579266765995,6.89096644859074,6.74528092942966,6.68069349730091,6.63007956953704,7.275215779651
"ENSG00000116251",6.4774939900252,5.98177201555264,6.60966088541653,5.9164801055748,6.21724987692465,6.28377755867588,6.4016065281719,6.32118964131559,6.53742903576218,6.28804987264199,6.6082964484782,6.22174048975376,6.32040247911108,6.14057580108139,6.64131549942742,6.72569794099769,5.75981927518371,6.06594331314736,6.3682346680642,6.25311211641746,6.47578455458171
"ENSG00000116237",4.16074935209123,4.63013473452496,4.40008644351581,4.70760534911786,4.64836083401822,3.99411063058031,4.57136783550808,4.85002044352915,3.13735496229783,4.91550803798714,4.25261457044794,4.56393629515538,4.40585306091806,4.83021350597024,4.51591850750097,4.2718345515896,4.26795337651693,4.31531487338185,4.44404693513396,3.42530734423362,4.23221090257049
"ENSG00000215788",4.23346049882424,3.55687597074493,3.90225665235956,3.8694965156564,4.11032290831285,3.35376641991678,3.56770003846631,4.08615585175513,1.23591274061187,4.38981727013813,2.31077040886716,2.86852266352801,3.87209951925177,2.88854394061902,2.81453314934275,3.96159122444833,3.90864148664662,4.74261772688329,4.34079573603502,3.90884931622114,2.91338557133721
"ENSG00000162408",5.91571034799631,5.45246765533945,5.6124494857593,5.80681602589348,5.7046395592962,5.62590201962563,5.97927720437647,5.56318554821532,6.10853956792918,5.87874020441332,5.2249222601767,5.62360489754456,5.56747391291378,5.97619187754396,5.92183710042175,6.06023849205282,5.73256361379307,5.88126374401132,5.64305854974087,6.37883310568134,6.0387336063477
