"","Patient10_2T","Patient1_2T","Patient2_2T","Patient3_5T","Patient4_3T","Patient5_3T","Patient6_4T","Patient7_2T","Patient8_1T","Patient9_1T","SRR17386548","SRR17386549","SRR17386550","SRR17386551","SRR17386552","SRR17386553","SRR17386554","SRR17386555","SRR17386556","SRR17386557","SRR17386558"
"ENSG00000225630",5.00438427371476,4.84487512091968,4.48776813350832,4.53281658714481,4.27278822100006,5.4705065528011,4.74898510600264,3.14178232486049,5.77964321451753,4.51810390784775,7.28688907269041,4.85941667995415,3.93456387372905,4.84697512123426,4.57224077311769,2.32532162155185,4.62394018513648,4.16145956836003,6.2529093773267,4.64690721247895,3.93286012082202
"ENSG00000248527",9.33662492904295,8.86215651472397,9.01268625308235,8.8601891198912,8.88341849352043,9.74814635291311,8.81990839704146,8.01678146853551,9.86417464184532,8.85082448221587,8.28473923661362,9.63775240527341,8.72867196849582,9.34345788859996,8.68008042752587,9.94157356075115,8.83814305278039,8.97072224976642,9.02182827234531,8.81990821557186,8.84678971426357
"ENSG00000228794",3.88604807787768,4.2949195607266,3.72233724764643,3.79206806250536,4.10136091047935,2.66089946188263,4.43625440327614,3.49327884059081,3.91934106627407,3.84947007596391,4.52568124035671,2.8579140182631,4.12921789076617,3.39359665068062,4.12200411028688,3.70778136843944,4.46955460224139,3.75572086023312,4.14178619470113,3.80063347156024,3.22319412013455
"ENSG00000188976",3.91567115076843,4.53354466966493,5.05222708338721,4.00474281988331,5.18592958997075,4.48015331251122,4.29619079665395,5.19560338411574,5.01693697017041,4.97605167149183,3.5002126849852,4.64653468282,5.0187634380116,4.57734224574629,4.78781490876324,5.08995122582975,4.3872389001017,4.34384809193446,4.56907920333185,4.81928585286393,5.64250696469972
"ENSG00000187608",5.51428991612618,5.18128331823006,5.30721830300224,6.61796918738524,5.26012818359234,4.76471767661761,6.60080628593675,7.64966023796112,6.00366317496231,5.40490089521748,6.0296635544906,6.2835346758491,4.87960084201213,5.78217296078013,5.25638440008679,6.36636149386995,6.4358631299025,6.80699940054231,5.18388900450697,6.21212563637587,4.86650204808318
"ENSG00000131591",2.29601330832414,3.55649907392613,3.38503730628784,2.2985499440515,2.98958335636447,2.7355583260282,2.70995476150513,3.06687007315761,3.24143447449442,3.3108676117616,3.96050825526574,2.90545283783704,2.92181829753135,2.00467603978477,3.68886998506279,3.2002692483225,2.946511452171,4.39842637529785,3.53614820963686,2.21500848463665,0.728479745254691
"ENSG00000078808",5.61181280232985,6.26026870091292,6.39279594968943,5.52816495643883,6.47060710547934,5.42659870400115,5.56467067978752,6.40116187368775,6.53527382466375,6.56415638055299,5.94494590503675,5.66962196437029,6.24886931197399,5.85315211362719,6.46748043706305,5.90910911318518,6.45070808511527,5.589471332199,6.17814643134228,6.29698934058105,6.34526813381175
"ENSG00000176022",5.04110093306511,5.06993691677746,4.6295524402864,3.66034126154966,5.63226863696176,4.22521087378752,3.43732881930151,5.92799926205007,5.31586511833466,5.24558059039339,4.44776666932378,4.56350360561041,5.10842337407118,5.05498351989545,5.10518418981683,4.44365723456192,4.67533939273415,5.04783800705867,4.57897615216379,5.07062942412852,5.03827404068143
"ENSG00000160087",5.88483338597879,6.44746304198042,6.38529699588226,5.47626468957052,6.56337448217342,5.77604967609827,6.09525981372403,6.45308317796085,6.14078930040078,6.62211024405562,6.15008087781307,5.80710373592933,6.19957860405299,6.34788125997597,6.07154015446615,6.16294046359597,6.0391631449782,6.22940225254257,6.43095875987665,6.40014851761309,6.26323624653307
"ENSG00000131584",3.77339143256204,4.45115963711761,4.49105964329845,3.25156470881003,4.66841690091723,3.25589924419868,3.43564864968001,4.59206425302186,4.65321805803814,3.81794006161404,3.7346376169096,4.22582953695215,5.01197875454251,3.35257745291628,4.74918805000152,2.95937366443268,4.63902691207025,5.2125862507549,2.06675377851161,4.48676288786642,4.20066958149121
