"","Patient10_2T","Patient1_2T","Patient2_2T","Patient3_5T","Patient4_3T","Patient5_3T","Patient6_4T","Patient7_2T","Patient8_1T","Patient9_1T","SRR17386548","SRR17386549","SRR17386550","SRR17386551","SRR17386552","SRR17386553","SRR17386554","SRR17386555","SRR17386556","SRR17386557","SRR17386558"
"ENSG00000225630",4.95632387562039,4.8016114596774,4.52453782713688,4.51803658908593,4.37877089635058,5.70080883982438,4.54852446645371,3.35820410272522,5.79158552787755,4.15722206382802,9.32682275328094,4.87979176588828,4.33418689039928,4.38213678463619,3.68267975401946,3.60438423404593,4.05471740267558,3.41128282407503,5.15695331024038,4.22324102549375,4.45331465538385
"ENSG00000248527",9.33812059629526,8.82743668687586,8.99797971601854,8.89858153590865,8.86937827545469,9.78602517195056,8.80969418647726,8.04174816056084,9.83235612254645,8.79414745144174,8.57814840203297,9.63435466589702,8.79178852617536,9.28616031581757,8.56419838220531,10.1138149922206,8.76727133766559,8.87006355573863,8.87986853356449,8.76245822097899,8.92498280897316
"ENSG00000228794",3.95178048589922,4.24704954159496,3.67248994829912,3.96426289898331,3.99338437118572,2.68116676131527,4.56883035984913,3.42504626394622,3.8043708451825,3.90168933102743,4.14644011038044,2.86978651776539,4.04846856542542,3.4756809841992,4.28295912525546,3.4449398451899,4.57123675968305,3.89741498004772,4.3567497568854,3.8604436845132,3.11887109825825
"ENSG00000188976",4.15251674533879,4.30094447157216,4.8404469924004,4.6756258667685,4.76394166876389,4.56971891672502,4.77149362952623,4.97044761784336,4.5571971455653,5.12212781622739,2.34739923089715,4.66279175674005,4.78562371168976,4.84925624566582,5.30598224404366,4.25169264600242,4.72278081858408,4.79088276701289,5.26374139594241,5.00385789848715,5.33116006190908
"ENSG00000187608",5.40619758693651,5.252669092748,5.39038514177826,6.31652943922174,5.45200036793392,4.66583927631825,6.39768268668979,7.77521277614613,6.23384313555088,5.40639748760844,6.32076545914544,6.17821084536468,4.95551790040164,5.73194924417679,5.15063038799644,6.56064799266137,6.37528450810168,6.68288263219391,5.01280707970777,6.18694019905495,4.95534108579427
"ENSG00000131591",2.46611459984948,3.35776681851388,3.22897579596581,2.8263767336933,2.68889195976113,2.89459557856382,3.01418393345805,2.9601459021484,2.87456327595004,3.28846537865311,3.79979309349528,2.93909688386749,2.8839421897705,2.04822152699969,3.77022205431055,3.01288173356834,3.00124972670415,4.47888421513895,3.68278322289591,2.20528695350174,0.674095589892645
"ENSG00000078808",5.88221970413743,5.9757640105704,6.17236135291276,6.38063047569526,6.01853653820939,5.81696503964689,5.99810863337255,6.26226894554045,5.92730735868821,6.36454508092929,6.46404638890467,5.83792013817169,6.31668097072635,5.71415441521657,6.21682698718056,6.14011170612438,6.28185200023414,5.43227391590277,5.96353518418218,6.09971011888449,6.4434541806189
"ENSG00000176022",5.44819445221469,4.65524422839782,4.30208412086151,4.94256805443289,4.94993671507066,4.83618932204576,4.08505205464702,5.70735611407314,4.39018252975804,4.91704463527692,5.32004846810577,4.85893358707002,5.22221427540902,4.81725317237597,4.67724436773119,4.86564926833461,4.38523100242479,4.78146012220303,4.19995773645297,4.75107436871197,5.20684186695585
"ENSG00000160087",6.07089099709538,6.25959552298012,6.23488181989211,6.05745617782313,6.25026870539895,6.04085150755311,6.39679164936701,6.34590417011266,5.72217380273184,6.49051961324456,6.45504226031635,5.935341049671,6.23430436059466,6.26184766263943,5.91852537418532,6.29561537462689,5.93434925767315,6.14166827455431,6.30878130932507,6.27475751398688,6.31699242143011
"ENSG00000131584",4.09584317911802,4.11709520254096,4.21578069945578,4.23319484100786,4.11167198445201,3.59462282959304,4.00183056581896,4.37148801576046,3.95965099162781,3.73920752253408,3.54556483523512,4.36317862514071,4.94679967169245,3.38645953284563,4.82314972196662,2.71182411495551,4.68247044637357,5.32129315433894,2.25727271554871,4.43243881104778,4.11890961465319
