"","Patient10_2T","Patient1_2T","Patient2_2T","Patient3_5T","Patient4_3T","Patient5_3T","Patient6_4T","Patient7_2T","Patient8_1T","Patient9_1T","SRR17386548","SRR17386549","SRR17386550","SRR17386551","SRR17386552","SRR17386553","SRR17386554","SRR17386555","SRR17386556","SRR17386557","SRR17386558"
"ENSG00000225630",5.74329078063184,5.80531512451563,5.53452560846488,5.10738527874063,5.53272369053108,6.48035064489471,5.27078984762844,4.32336099385591,6.93896067533178,5.09707031627154,8.54606716874822,3.93923155917571,3.52998649485572,3.54778218853094,2.85038994128436,2.8240208376365,3.2302990972061,2.58189516063274,4.25253485391228,3.44255980996977,3.66659697589995
"ENSG00000248527",9.80525077273319,9.35660334025031,9.53478694259128,9.31626418333476,9.45952671840309,10.2537525685906,9.26256934082348,8.55649866072014,10.4050769924943,9.30552354665012,8.13944190928558,9.12984641938521,8.34036910961089,8.82145511481108,8.10123493811024,9.66757956962995,8.30793650860037,8.41478517479748,8.38675579367291,8.32030405991878,8.4830159803858
"ENSG00000228794",4.01223677806724,4.37706397390781,3.79988132620879,3.95564451733392,4.15734155883179,2.73707777163395,4.60513474454821,3.54537658482822,3.97856336424865,4.01082381017536,4.06681410919818,2.75480698803828,3.96608560966239,3.38731751633769,4.19434434250172,3.37150863293899,4.48405568945189,3.80428758196919,4.25253485391228,3.78359672780484,3.03856575328691
"ENSG00000188976",5.38992306088605,5.85637257095507,6.40709268913664,5.62549591564159,6.54597739935922,5.7971608218768,5.91541985400553,6.46815902504328,6.32426801915079,6.58402608481036,1.12821465386233,3.2022659650095,3.52998649485572,3.54778218853094,4.00793121827084,3.03047171510392,3.43674997467353,3.49943300044077,3.85660617758114,3.78359672780484,4.10269609070663
"ENSG00000187608",6.42559730977276,6.10961963643835,6.28149259478858,7.53139689531496,6.31593346946651,5.70891757295037,7.49394994579931,8.63854781970119,6.99928370074672,6.31444757019066,5.47398949070406,5.31774318242944,4.0863798433801,4.85444352676499,4.27923324008824,5.66273993060344,5.50713930256493,5.85491365503916,4.13224062019457,5.31702892788592,4.10269609070663
"ENSG00000131591",3.54810472926023,4.77319984470159,4.65096751668698,3.60054955851136,4.32591128066209,3.96371341673774,3.99436305747745,4.31807639072764,4.50973654514914,4.60539973560292,2.71317715458348,1.61730346428835,1.76445174849274,0.884817175808509,2.60938184178057,1.93093604155301,1.85178747395237,3.31886075479895,2.41603358619516,1.12063171508241,-0.420865865350384
"ENSG00000078808",5.95339895437567,6.66120378884964,6.82346187774143,5.82820467692869,6.96933351193124,5.84279731680824,5.84784715026425,6.86866080863344,6.99822832759,6.86466507494201,6.17260877322078,5.2726552929009,6.01237926193633,5.36594386554513,5.86419574080939,5.91799698584551,5.93925031520271,5.02668000330564,5.4913217134994,5.83944996253836,6.14898974298056
"ENSG00000176022",4.88621825188853,5.02536830019721,4.60391894388255,3.41459913314297,5.67293035651228,4.19786086113438,3.17524164031989,5.96690065273949,5.33851490559088,5.00460975157658,5.47398949070406,4.65292737401907,5.37326099116827,4.91456451920256,4.76466006725848,5.14594893252386,4.48405568945189,4.76952216380851,4.13224062019457,4.96193396906335,5.36049384817428
"ENSG00000160087",5.86410190092981,6.465592939808,6.41165337272674,5.42410935242545,6.61566440704877,5.8007230336641,6.03670396771694,6.50234212430971,6.18465744808476,6.57146869859796,6.48576665848041,5.80317000959968,6.26270261602057,6.26563895974944,5.9181345479202,6.38096896218806,5.93925031520271,6.09847068637365,6.23803528421716,6.33008508071136,6.34731845942654
"ENSG00000131584",4.77049715059667,5.41666233955208,5.49495852408497,4.29114856150016,5.72595606546546,4.22992207036668,4.46182147335322,5.58221335300859,5.65743773255481,4.85145296351516,2.71317715458348,3.2022659650095,4.0863798433801,2.46977967652967,3.90483772530674,1.93093604155301,3.7777868925086,4.3661664695773,1.19364116485871,3.62313205561159,3.27957385279071
"ENSG00000127054",6.72786074006223,6.97961791836176,6.89034268444781,6.53095684802136,7.02718516768499,6.75830104272147,6.7315890424107,7.11022490016315,7.00769900738301,7.21792905702525,3.45014274874969,2.10273029145859,4.86878840830748,3.69217209786611,3.23741306439361,3.64714307555242,3.2302990972061,4.1668576613539,4.13224062019457,3.44255980996977,4.22299032442434
"ENSG00000224051",3.8049605601649,4.67969674538587,4.31677208193195,4.1331274790525,4.72732549607696,3.05602816672142,4.11424056818796,5.31675220978026,4.48584042880298,4.75603339843648,3.79117966658476,3.2022659650095,4.39671996399225,3.69217209786611,3.05684081875179,3.87846862165887,3.2302990972061,3.80428758196919,4.13224062019457,3.78359672780484,3.97145155742838
"ENSG00000175756",5.89642432303899,6.66757097111942,6.68087229938286,6.01851979156801,6.75108247911629,6.19650939027125,5.71192813523031,6.94778057408148,6.95645472875831,6.47288363130561,6.25749767080729,5.89528821158811,6.45375090902863,6.01410019275348,6.36911874360543,6.55820934713213,6.51854406583718,6.30678792249837,6.32292418180368,6.50145349902334,6.83652197734227
"ENSG00000221978",7.96279538515697,8.18903670619722,7.99914337066214,8.05356171622143,8.02579461814033,7.81003220588062,7.74364560166515,8.36959217842815,7.91259540779009,8.71745093611742,7.02706793040543,7.24374260098566,7.35541298983534,7.10075457500766,7.66958647598648,6.95012960678632,7.35640786635593,7.57687708586612,7.40957856405786,7.34945040557829,7.06294991191387
