ENSEMBL,ENTREZID,SYMBOL
ENSG00000213741,6235,RPS29
ENSG00000228253,4509,ATP8
ENSG00000198840,4537,ND3
ENSG00000166441,6157,RPL27A
ENSG00000075624,60,ACTB
ENSG00000205542,7114,TMSB4X
ENSG00000112306,6206,RPS12
ENSG00000137818,6176,RPLP1
ENSG00000197756,6168,RPL37A
ENSG00000198712,4513,COX2
ENSG00000138326,6229,RPS24
ENSG00000233927,6234,RPS28
ENSG00000143947,6233,RPS27A
ENSG00000149806,2197,FAU
ENSG00000161970,6154,RPL26
ENSG00000019582,972,CD74
ENSG00000198804,4512,COX1
ENSG00000198763,4536,ND2
ENSG00000133112,7178,TPT1
ENSG00000142534,6205,RPS11
ENSG00000142937,6202,RPS8
ENSG00000166710,567,B2M
ENSG00000137154,6194,RPS6
ENSG00000172809,6169,RPL38
ENSG00000144713,6161,RPL32
ENSG00000149273,6188,RPS3
ENSG00000008988,6224,RPS20
ENSG00000125691,9349,RPL23
ENSG00000198899,4508,ATP6
ENSG00000145592,6167,RPL37
ENSG00000105193,6217,RPS16
ENSG00000122406,6125,RPL5
ENSG00000182899,6165,RPL35A
ENSG00000087086,2512,FTL
ENSG00000171858,6227,RPS21
ENSG00000167658,1938,EEF2
ENSG00000177954,6232,RPS27
ENSG00000034510,9168,TMSB10
ENSG00000198727,4519,CYTB
ENSG00000142669,83442,SH3BGRL3
ENSG00000132475,3021,H3-3B
ENSG00000111348,397,ARHGDIB
ENSG00000108518,5216,PFN1
ENSG00000198918,6170,RPL39
ENSG00000198886,4538,ND4
ENSG00000063177,6141,RPL18
ENSG00000051523,1535,CYBA
ENSG00000131469,6155,RPL27
ENSG00000196924,2316,FLNA
ENSG00000156508,1915,EEF1A1
ENSG00000142676,6135,RPL11
ENSG00000198938,4514,COX3
ENSG00000090382,4069,LYZ
ENSG00000148303,6130,RPL7A
ENSG00000197746,5660,PSAP
ENSG00000108654,1655,DDX5
ENSG00000167283,10632,ATP5MG
ENSG00000142541,23521,RPL13A
ENSG00000204628,10399,RACK1
ENSG00000130066,6303,SAT1
ENSG00000143546,6279,S100A8
ENSG00000071082,6160,RPL31
ENSG00000198242,6147,RPL23A
ENSG00000164587,6208,RPS14
ENSG00000187514,5757,PTMA
ENSG00000169442,1043,CD52
ENSG00000108298,6143,RPL19
ENSG00000172757,1072,CFL1
ENSG00000105640,6142,RPL18A
ENSG00000120129,1843,DUSP1
ENSG00000198034,6191,RPS4X
ENSG00000108107,6158,RPL28
ENSG00000069275,64710,NUCKS1
ENSG00000011600,7305,TYROBP
ENSG00000170345,2353,FOS
ENSG00000183283,9802,DAZAP2
ENSG00000111640,2597,GAPDH
ENSG00000171863,6201,RPS7
ENSG00000158869,2207,FCER1G
ENSG00000196683,54543,TOMM7
ENSG00000196683,107986346,LOC107986346
ENSG00000124614,6204,RPS10
ENSG00000070756,26986,PABPC1
ENSG00000198888,4535,ND1
ENSG00000231500,6222,RPS18
ENSG00000147649,92140,MTDH
ENSG00000143933,805,CALM2
ENSG00000092841,4637,MYL6
ENSG00000147403,6134,RPL10
ENSG00000157514,1831,TSC22D3
ENSG00000221983,7311,UBA52
ENSG00000139644,7009,TMBIM6
ENSG00000115523,10578,GNLY
ENSG00000100316,6122,RPL3
ENSG00000136156,9445,ITM2B
ENSG00000122026,6144,RPL21
ENSG00000170004,1107,CHD3
ENSG00000174444,6124,RPL4
ENSG00000197061,8364,H4C3
ENSG00000196262,5478,PPIA
ENSG00000136167,3936,LCP1
ENSG00000101608,10627,MYL12A
ENSG00000105372,6223,RPS19
ENSG00000164346,10412,NSA2
ENSG00000173812,10209,EIF1
ENSG00000102879,11151,CORO1A
ENSG00000101439,1471,CST3
