Run,Patient Number
SRR29718015,Patient1_1T
SRR29718014,Patient1_2T
SRR29718013,Patient1_3T
SRR29718012,Patient1_4T
SRR29718011,Patient1_5T
SRR29718030,Patient2_1T
SRR29718029,Patient2_2T
SRR29718028,Patient2_3T
SRR29718027,Patient2_4T
SRR29718043,Patient3_1T
SRR29718042,Patient3_2T
SRR29718041,Patient3_3T
SRR29718040,Patient3_4T
SRR29718039,Patient3_5T
SRR29718038,Patient3_6T
SRR29718010,Patient4_1T
SRR29718009,Patient4_2T
SRR29718008,Patient4_3T
SRR29718007,Patient4_4T
SRR29718006,Patient4_5T
SRR29718005,Patient4_6T
SRR29718047,Patient5_1T
SRR29718046,Patient5_2T
SRR29718045,Patient5_3T
SRR29718044,Patient5_4T
SRR29718051,Patient6_1T
SRR29718050,Patient6_2T
SRR29718049,Patient6_3T
SRR29718048,Patient6_4T
SRR29718026,Patient7_1T
SRR29718025,Patient7_2T
SRR29718024,Patient7_3T
SRR29718023,Patient7_4T
SRR29718022,Patient7_5T
SRR29718021,Patient7_6T
SRR29718033,Patient8_1T
SRR29718032,Patient8_2T
SRR29718031,Patient8_3T
SRR29718020,Patient9_1T
SRR29718019,Patient9_2T
SRR29718018,Patient9_3T
SRR29718017,Patient9_4T
SRR29718016,Patient9_5T
SRR29718037,Patient10_1T
SRR29718036,Patient10_2T
SRR29718035,Patient10_3T
SRR29718034,Patient10_4T
